Cumulative_Average,Statistical_Uncertainty
3.14196,0
3.14145,0.000508203
3.14177,0.000434453
3.14166,0.000326313
3.14161,0.000257635
3.14157,0.000213713
3.14156,0.000180937
3.14158,0.000158184
3.1415,0.000159428
3.14149,0.000143567
3.14148,0.000129901
3.14154,0.000132803
3.14158,0.000128291
3.14162,0.000124962
3.1416,0.000118082
3.14157,0.000114654
3.14157,0.000107719
3.14156,0.000102013
3.14157,9.70611e-05
3.14153,9.94755e-05
3.14152,9.60232e-05
3.14154,9.36742e-05
3.14154,8.95658e-05
3.14156,8.78014e-05
3.14157,8.48805e-05
3.14156,8.23052e-05
3.14158,8.15573e-05
3.14157,7.88444e-05
3.14156,7.69301e-05
3.14154,7.59047e-05
3.14156,7.47927e-05
3.14156,7.24205e-05
3.14154,7.16284e-05
3.14154,6.94933e-05
3.14153,6.83136e-05
3.14153,6.68701e-05
3.14153,6.53405e-05
3.14155,6.52862e-05
3.14153,6.5595e-05
3.14154,6.42858e-05
3.14156,6.76707e-05
3.14156,6.60671e-05
3.14156,6.45153e-05
3.14156,6.30686e-05
3.14156,6.20877e-05
3.14156,6.11554e-05
3.14157,6.07497e-05
3.14157,6.0093e-05
3.14157,5.93542e-05
3.14157,5.81666e-05
3.14158,5.7136e-05
3.14158,5.61194e-05
3.14158,5.50956e-05
3.14157,5.47596e-05
3.14156,5.47609e-05
3.14157,5.39612e-05
3.14156,5.31983e-05
3.14156,5.2292e-05
3.14156,5.13994e-05
3.14156,5.07944e-05
3.14157,5.18828e-05
3.14157,5.10401e-05
3.14157,5.02785e-05
3.14158,5.08452e-05
3.14159,5.13446e-05
3.14159,5.05779e-05
3.14161,5.25301e-05
3.14161,5.18169e-05
3.14161,5.1085e-05
3.14161,5.03658e-05
3.14161,4.98469e-05
3.14162,4.9156e-05
3.14162,4.85409e-05
3.14162,4.79047e-05
3.14162,4.73796e-05
3.14162,4.68505e-05
3.14162,4.6241e-05
3.14162,4.60818e-05
3.14162,4.54948e-05
3.14163,4.62959e-05
3.14164,4.57415e-05
3.14165,4.68859e-05
3.14165,4.66704e-05
3.14166,4.69088e-05
3.14166,4.63544e-05
3.14166,4.60035e-05
3.14166,4.55747e-05
3.14166,4.50539e-05
3.14167,4.56347e-05
3.14167,4.51381e-05
3.14167,4.48381e-05
3.14168,4.48997e-05
3.14168,4.46067e-05
3.14167,4.43705e-05
3.14167,4.39572e-05
3.14166,4.39286e-05
3.14167,4.35263e-05
3.14166,4.33515e-05
3.14166,4.29146e-05
3.14167,4.27997e-05
