Generazione,BestLoss
1,5821.71
2,5610.39
3,5466.21
4,5351.34
5,5261.13
6,5192.32
7,5125.09
8,5054.88
9,5006.78
10,4921.21
11,4847.21
12,4758.21
13,4705.23
14,4645.07
15,4580.45
16,4518.98
17,4473.68
18,4452.25
19,4397.66
20,4355.04
21,4331.22
22,4293.79
23,4276.99
24,4249.31
25,4231.86
26,4168.7
27,4121.27
28,4107.12
29,4079.53
30,4038.41
31,4008.73
32,3990.44
33,3960.99
34,3934.63
35,3913.64
36,3904.11
37,3893.75
38,3887.85
39,3873.79
40,3861.68
41,3839.88
42,3818.43
43,3810.33
44,3803.01
45,3797.99
46,3788.99
47,3767.22
48,3751.61
49,3751.61
50,3744.51
51,3720.72
52,3699.18
53,3699.18
54,3683.79
55,3674.55
56,3667.72
57,3650.57
58,3648.43
59,3635.92
60,3623.52
61,3609.24
62,3606.36
63,3601.78
64,3589.46
65,3587.19
66,3582.42
67,3578.54
68,3575.16
69,3572.21
70,3564.14
71,3551.67
72,3543.25
73,3536.58
74,3532.32
75,3527.51
76,3512.06
77,3505.59
78,3499.71
79,3477.92
80,3476.05
81,3474.84
82,3471.48
83,3469.39
84,3466.68
85,3461.79
86,3461.62
87,3457.52
88,3456.99
89,3452.86
90,3446.99
91,3442.19
92,3439.23
93,3437.82
94,3437.46
95,3436.05
96,3433.47
97,3433.47
98,3431.87
99,3426.78
100,3425.18
101,3424.04
102,3419.26
103,3419.15
104,3416.48
105,3415.45
106,3413.85
107,3408.73
108,3408.73
109,3404.74
110,3403.86
111,3403.64
112,3400.14
113,3399.68
114,3382.92
115,3381.61
116,3381.1
117,3381.04
118,3376.64
119,3373.27
120,3372.77
121,3372.77
122,3371.1
123,3370
124,3369.86
125,3367.22
126,3366.7
127,3366.17
128,3362.57
129,3361.53
130,3359.15
131,3359.15
132,3357.61
133,3357.07
134,3355.52
135,3353.76
136,3351.69
137,3347.31
138,3346.51
139,3345.98
140,3344.76
141,3343.91
142,3343.5
