Generazione,HalfLoss
1,6799.91
2,6388.4
3,6014.72
4,5710.42
5,5527.74
6,5422.95
7,5320.25
8,5226.73
9,5136.52
10,5051.27
11,4984.84
12,4904.92
13,4809.66
14,4726.58
15,4663.75
16,4604.78
17,4536.51
18,4460.17
19,4407.3
20,4367.59
21,4328.06
22,4283.09
23,4243.97
24,4214.9
25,4190.43
26,4164.6
27,4133.87
28,4110.14
29,4094.95
30,4068.6
31,4041.52
32,4025.32
33,4005.34
34,3976.04
35,3947.07
36,3912.52
37,3888.31
38,3872.2
39,3864.15
40,3851.01
41,3838.31
42,3819.71
43,3799.7
44,3780.03
45,3769.72
46,3764.03
47,3761.63
48,3754.43
49,3750.3
50,3744.77
51,3735.39
52,3725.34
53,3716.55
54,3703.54
55,3692.54
56,3681.24
57,3672.25
58,3665.13
59,3656.18
60,3644.09
61,3630.09
62,3618.89
63,3607.16
64,3594.45
65,3588.67
66,3584.82
67,3583.73
68,3577.41
69,3566.14
70,3559.08
71,3556.94
72,3555.67
73,3555.61
74,3544.39
75,3535.75
76,3530.49
77,3524.05
78,3518.47
79,3514.18
80,3510.66
81,3506.48
82,3503.24
83,3503.78
84,3504.22
85,3500.38
86,3499.86
87,3495.77
88,3493.98
89,3492.38
90,3491.27
91,3487.67
92,3486.87
93,3477.02
94,3469.03
95,3464.25
96,3461.85
97,3460.28
98,3458.83
99,3457.12
100,3455.8
101,3454.48
102,3453.52
103,3452.52
104,3451.76
105,3451.79
106,3450.44
107,3448.68
108,3450.11
109,3448.38
110,3446.74
111,3442.4
112,3444.02
113,3443.05
114,3445.49
115,3443.99
116,3440.9
117,3435.98
118,3431.7
119,3427.39
120,3424.35
121,3422.54
122,3423.45
123,3427
124,3427.32
125,3431.57
126,3434.64
127,3438.99
128,3432.19
129,3428.83
130,3432.73
131,3434.27
132,3433.94
133,3427.82
134,3420.54
135,3405.86
136,3399.57
137,3397.96
138,3395.59
139,3395.62
140,3397.37
141,3395.5
142,3394.55
143,3392.82
144,3389.86
145,3388.48
146,3387.9
147,3386.65
148,3385.99
149,3384.87
150,3383.19
151,3379
152,3369.23
153,3358.93
154,3348.9
155,3341.35
156,3338.32
157,3336.48
158,3335.02
159,3333.94
160,3333.53
161,3332.71
162,3330.73
163,3328.74
164,3327.8
165,3326.98
166,3326.2
167,3325.67
168,3324.64
169,3323.55
170,3322.9
171,3322.3
172,3321.91
173,3321.83
174,3321.65
175,3321.13
176,3319.96
177,3318.84
178,3317.74
179,3315.76
180,3313.86
181,3312.44
182,3311.56
183,3310.97
184,3310.3
185,3309.34
186,3308.2
187,3307.2
188,3306.99
189,3305.64
190,3300.01
191,3296.31
192,3294.63
193,3293.36
194,3292.06
195,3290.63
196,3289.67
197,3288.97
198,3288.54
199,3288.21
200,3287.19
201,3286.2
202,3285.7
203,3286.11
204,3292.14
205,3295.63
206,3293.38
207,3287.74
208,3284.68
209,3284.52
210,3283.32
211,3283.31
212,3283.3
213,3281.52
214,3280.79
215,3279.92
216,3279.4
217,3278.55
218,3277.87
219,3277.1
220,3276.58
221,3276.37
222,3276.33
223,3276.15
224,3275.55
225,3274.9
226,3274.33
227,3273.92
228,3273.62
229,3273.41
230,3273.34
231,3273.28
232,3274.11
233,3277.2
234,3275.65
235,3273.44
236,3272.6
237,3272.56
238,3272.55
239,3272.55
240,3272.55
241,3273.64
242,3272.92
243,3272.17
244,3272.08
245,3271.88
246,3271.47
247,3270.97
248,3270.76
249,3270.46
250,3270.15
251,3270.02
252,3270.16
253,3275.06
254,3279.74
255,3282.96
256,3284.34
257,3275.48
258,3269.39
259,3266.69
260,3266.49
261,3266.46
262,3265.75
263,3264.95
264,3264.09
265,3263.92
266,3263.71
267,3262.56
268,3262.39
269,3262.37
270,3262.32
271,3262.22
272,3262.13
273,3262.08
274,3262.06
275,3262.06
276,3262.06
277,3262.06
278,3262.06
279,3262.02
280,3261.85
281,3261.72
282,3261.65
283,3261.61
284,3261.61
285,3261.61
286,3261.61
287,3261.61
288,3261.61
289,3262.01
290,3269.76
291,3271
292,3267.15
293,3262.48
294,3261.06
295,3260.72
296,3260.72
297,3260.67
298,3260.54
299,3260.42
300,3260.36
301,3260.36
302,3260.36
303,3260.36
304,3260.36
305,3260.36
306,3261.32
307,3264.97
308,3267.51
309,3265.54
310,3260.21
311,3259.44
312,3259.19
