Generazione,BestLoss
1,5950.29
2,5610.39
3,5514.11
4,5347.36
5,5209.43
6,5085.6
7,5045.73
8,4956.17
9,4859.83
10,4718.21
11,4674.91
12,4612.92
13,4576.27
14,4530.34
15,4481.13
16,4439.69
17,4393.33
18,4327.55
19,4287.3
20,4258.44
21,4198.46
22,4147.74
23,4126.44
24,4093.94
25,4061.87
26,4039.11
27,4023.02
28,3993.75
29,3971.84
30,3958.06
31,3900.27
32,3873.95
33,3864.15
34,3856.98
35,3842.92
36,3830.72
37,3825.1
38,3812.82
39,3801.52
40,3791.3
41,3755.08
42,3751.28
43,3742.75
44,3733.89
45,3715.52
46,3711.03
47,3707.29
48,3696.24
49,3687.2
50,3674.71
51,3656.24
52,3646.87
53,3641.46
54,3637.78
55,3630.3
56,3626.21
57,3617.67
58,3611.19
59,3598.45
60,3563.14
61,3559.46
62,3556.5
63,3551.7
64,3549.22
65,3538.38
66,3532.95
67,3531.95
68,3531.47
69,3528.19
70,3519.2
71,3511.74
72,3507.39
73,3482.47
74,3480.69
75,3475.49
76,3473.4
77,3473.4
78,3470.01
79,3467.38
80,3462.17
81,3461.24
82,3456.3
83,3452.6
84,3451.5
85,3451.38
86,3428.5
87,3428.41
88,3426.84
89,3425.46
90,3418.22
91,3416.65
92,3416.51
93,3411.76
94,3409.64
95,3406.56
96,3386.18
97,3383.1
98,3383.1
99,3382.74
100,3378.63
101,3378.48
102,3378.48
103,3376.86
104,3371.81
105,3369.47
106,3366.63
107,3366.11
108,3363.1
109,3363.1
110,3357.32
111,3351.26
112,3351.11
113,3351.11
114,3349.66
115,3349.52
116,3347.97
117,3345.54
118,3344.24
119,3342.92
120,3341.42
121,3340.59
122,3339.13
123,3337.07
124,3335.29
125,3334.12
126,3333.82
127,3333.82
128,3325.4
129,3322.4
130,3321.16
131,3320.26
132,3320.26
133,3316.4
134,3315.89
135,3314.05
136,3313.19
137,3312.26
138,3311.74
139,3311.69
140,3311.17
141,3310.76
142,3310.2
143,3310.15
144,3310.15
145,3307.21
146,3302.81
147,3302.47
148,3302.42
149,3299.37
150,3299.32
151,3299.32
152,3298.84
153,3298.18
154,3297.5
155,3294.62
156,3289.51
157,3288.37
158,3288.13
159,3288.13
160,3285.81
161,3281.74
162,3279.8
163,3279.14
164,3279.14
165,3279.14
166,3278.92
167,3278.36
168,3278.36
169,3276.47
170,3276.47
171,3276.47
172,3276.47
173,3276.25
174,3276.13
175,3276.13
176,3268.54
177,3268.54
178,3268.54
179,3268.54
180,3267.65
181,3266.38
182,3265.39
183,3265.39
184,3265.21
185,3265.21
186,3265.09
187,3264.92
188,3264.92
189,3264.38
190,3264.38
191,3264.38
192,3263.53
193,3263.46
194,3263.16
195,3262.93
196,3262.86
197,3259.27
198,3259.27
199,3258.76
200,3258.76
201,3258.48
202,3258.48
203,3258.48
204,3258.48
205,3258.45
206,3256.92
207,3256.89
208,3256.89
209,3256.89
210,3256.89
211,3256.89
212,3256.89
213,3256.52
214,3256.52
215,3253.34
216,3253.31
217,3253.31
218,3253.23
219,3253.23
220,3252.97
221,3252.9
222,3252.9
223,3252.27
224,3251.77
225,3251.66
226,3251.66
227,3251.66
228,3251.66
229,3251.32
230,3251.32
231,3251.32
232,3251.21
233,3251.21
234,3251.21
235,3251.21
236,3250.79
237,3250.68
238,3250.68
239,3250.68
240,3250.68
241,3250.24
242,3250.24
243,3250.24
244,3250.24
245,3250.24
246,3250.24
247,3250.24
248,3248.64
249,3248.21
250,3248.04
251,3248.04
252,3248.04
253,3248.04
254,3248.04
255,3248.04
256,3248.04
257,3247.25
258,3247.25
259,3247.25
260,3246.56
261,3246.56
262,3246.56
263,3246.56
264,3246.56
265,3246.56
266,3246.28
267,3245.99
268,3245.79
269,3245.79
270,3245.79
271,3245.53
272,3245.53
273,3245.53
274,3245.53
275,3245.53
276,3245.53
277,3245.53
278,3245.53
279,3245.53
280,3245.53
281,3244.12
282,3244.12
283,3244.12
284,3244.12
285,3243.71
286,3243.71
287,3243.64
288,3243.64
289,3243.64
290,3243.64
291,3243.64
292,3243.64
293,3243.64
294,3243.64
295,3243.64
296,3243.46
297,3243.44
298,3243.44
299,3243.44
300,3243.44
301,3243.44
302,3243.44
303,3243.44
304,3243.25
305,3243.25
306,3243.25
307,3243.25
308,3243.25
309,3243.25
310,3243.25
311,3243.15
312,3243.15
313,3243.15
314,3243.15
315,3243.15
316,3243.15
317,3243.09
318,3243.09
319,3243.09
320,3243.09
321,3243.09
322,3243.09
323,3242.37
324,3242.31
325,3242.31
326,3242.31
327,3242.31
328,3242.31
329,3242.31
330,3242.31
331,3242.31
332,3241.58
333,3241.58
334,3241.53
335,3241.53
336,3241.53
337,3241.25
338,3241.25
339,3241.25
340,3241.25
341,3241.25
342,3241.25
343,3241.25
344,3241.25
345,3241.25
346,3241.25
347,3241.25
348,3241.25
349,3241.25
350,3241.25
351,3241.25
352,3241.25
353,3240.47
354,3240.47
355,3240.47
356,3240.47
357,3240.47
358,3240.47
359,3240.47
360,3240.47
361,3240.47
362,3240.47
363,3240.47
364,3240.47
365,3240.47
366,3240.47
367,3240.47
368,3240.47
369,3240.47
370,3240.47
371,3240.47
372,3240.47
373,3240.47
374,3240.47
375,3240.47
376,3240.47
377,3240.47
378,3240.47
379,3240.47
380,3240.47
381,3240.47
382,3240.47
383,3239.98
384,3239.98
385,3239.79
386,3239.79
387,3239.79
388,3239.79
389,3239.79
390,3239.79
391,3239.79
392,3239.79
393,3239.79
394,3239.79
395,3239.79
396,3239.79
397,3239.79
398,3239.49
399,3239.49
400,3239.49
401,3239.49
402,3239.49
403,3239.49
404,3239.49
405,3239.49
406,3239.49
407,3239.49
408,3239.49
409,3239.49
410,3239.49
411,3239.49
412,3239.49
413,3238.94
414,3238.94
415,3238.94
416,3238.94
417,3238.94
418,3238.94
419,3238.94
420,3238.94
421,3238.94
422,3238.94
423,3238.94
424,3238.94
425,3238.94
426,3238.94
427,3238.94
428,3238.94
429,3238.94
430,3238.94
431,3238.94
432,3238.94
433,3238.94
434,3238.94
435,3238.94
436,3238.94
437,3238.94
438,3238.94
439,3238.94
440,3238.94
441,3238.94
442,3238.94
443,3238.94
444,3238.94
445,3238.94
446,3238.94
447,3238.94
448,3238.94
449,3238.94
450,3238.94
451,3238.94
452,3238.94
453,3238.94
454,3238.94
455,3238.94
456,3238.94
457,3238.94
458,3238.66
459,3238.66
460,3238.66
461,3238.66
462,3238.66
463,3238.66
464,3238.66
465,3238.66
466,3238.66
467,3238.66
468,3238.66
469,3238.66
470,3238.66
471,3238.66
472,3238.66
473,3238.21
474,3238.21
475,3238.21
476,3238.21
477,3238.21
478,3238.21
479,3238.21
480,3238.21
481,3238.21
482,3238.21
483,3238.21
484,3238.21
485,3238.21
486,3238.21
487,3238.21
488,3238.21
489,3238.21
490,3238.21
491,3238.21
492,3238.21
493,3238.21
494,3238.21
495,3238.21
496,3238.21
497,3238.21
498,3238.21
499,3238.21
500,3238.21
501,3238.21
502,3238.21
503,3238.21
504,3238.21
505,3238.21
506,3238.21
507,3238.21
508,3238.21
509,3238.21
510,3238.21
511,3238.21
512,3238.21
513,3238.21
514,3238.21
515,3238.21
516,3238.21
517,3238.21
518,3238.21
519,3238.21
520,3238.21
521,3238.21
522,3238.21
523,3238.21
524,3238.21
525,3238.21
526,3238.21
527,3238.21
528,3238.21
529,3238.21
530,3238.21
531,3238.21
532,3238.21
533,3238.21
534,3238.21
535,3238.21
536,3238.21
537,3238.21
538,3238.21
539,3238.21
540,3238.21
541,3238.21
542,3238.21
543,3238.21
544,3238.21
545,3238.21
546,3238.21
547,3238.21
548,3238.21
549,3238.21
550,3238.21
551,3238.21
552,3238.21
553,3238.21
554,3238.21
555,3238.21
556,3238.21
557,3238.21
558,3238.21
559,3238.21
560,3238.02
561,3238.02
562,3238.02
563,3238.02
564,3238.02
565,3238.02
566,3238.02
567,3238.02
568,3238.02
569,3238.02
570,3238.02
571,3238.02
572,3238.02
573,3238.02
574,3238.02
575,3238.02
576,3238.02
577,3238.02
578,3238.02
579,3238.02
580,3238.02
581,3238.02
582,3238.02
583,3238.02
584,3238.02
585,3238.02
586,3238.02
587,3238.02
588,3238.02
589,3238.02
590,3238.02
591,3238.02
592,3238.02
593,3238.02
594,3238.02
595,3238.02
596,3238.02
597,3238.02
598,3238.02
599,3237.96
600,3237.96
601,3237.96
602,3237.96
603,3237.96
604,3237.96
605,3237.96
606,3237.96
607,3237.96
608,3237.96
609,3237.96
610,3237.96
611,3237.96
612,3237.96
613,3237.96
614,3237.96
615,3237.96
616,3237.96
617,3237.96
618,3237.96
619,3237.96
620,3237.96
621,3237.96
622,3237.96
623,3237.96
624,3237.96
625,3237.96
626,3237.48
627,3237.48
628,3237.48
629,3237.48
630,3237.48
631,3237.48
632,3237.48
633,3237.48
634,3237.48
635,3237.35
636,3237.35
637,3237.35
638,3237.35
639,3237.35
640,3237.35
641,3237.35
642,3237.35
643,3237.35
644,3237.35
645,3237.35
646,3237.35
647,3237.35
648,3237.35
649,3237.35
650,3237.35
651,3237.35
652,3237.35
653,3237.35
654,3237.35
655,3237.35
656,3237.35
657,3237.35
658,3237.35
659,3237.35
660,3237.35
661,3237.35
662,3237.35
663,3237.35
664,3237.35
665,3237.35
666,3237.35
667,3237.35
668,3237.35
669,3237.35
670,3237.35
671,3237.35
672,3237.35
673,3237.35
674,3237.35
675,3237.35
676,3237.35
677,3237.35
678,3237.35
679,3237.35
680,3237.35
681,3237.35
682,3237.35
683,3237.35
684,3237.35
685,3237.35
686,3237.35
687,3237.35
688,3237.35
689,3237.35
690,3237.35
691,3237.35
692,3237.35
693,3237.35
694,3237.35
695,3237.35
696,3237.35
697,3237.35
698,3237.35
699,3237.35
700,3237.35
701,3237.35
702,3237.35
703,3237.35
704,3237.35
705,3237.35
706,3237.35
707,3237.35
708,3237.35
709,3237.35
710,3237.35
711,3237.35
712,3237.35
713,3237.35
714,3237.35
715,3237.35
716,3237.35
717,3237.35
718,3237.35
719,3237.35
720,3237.35
721,3237.35
722,3237.35
723,3237.35
724,3237.35
725,3237.35
726,3237.35
727,3237.35
728,3237.35
729,3237.35
730,3237.35
731,3237.35
732,3237.35
733,3237.35
734,3237.35
735,3237.35
736,3237.35
737,3237.35
738,3237.35
739,3237.35
740,3237.35
741,3237.35
742,3237.35
743,3237.35
744,3237.35
745,3237.35
746,3237.35
747,3237.35
748,3237.35
749,3237.35
750,3237.35
