Generazione,HalfLoss
1,6810.78
2,6318.63
3,5851.41
4,5662.76
5,5505.78
6,5370.42
7,5247.01
8,5125.95
9,5004.54
10,4919.12
11,4846.36
12,4781.23
13,4719.31
14,4663.02
15,4615.13
16,4548.97
17,4496.31
18,4453
19,4402.63
20,4347.62
21,4313.44
22,4278.99
23,4245.01
24,4218.52
25,4193.99
26,4174.1
27,4150.86
28,4124.85
29,4107.33
30,4094.72
31,4084.66
32,4071.89
33,4059.83
34,4043.46
35,4016.2
36,3987.83
37,3965.48
38,3952.24
39,3937.32
40,3916.41
41,3870.73
42,3832.18
43,3812.83
44,3792.56
45,3777.88
46,3767.6
47,3761.66
48,3758.51
49,3748.75
50,3739.77
51,3729.05
52,3713.87
53,3691.63
54,3672.11
55,3664.37
56,3658.3
57,3655.85
58,3653.21
59,3637.84
60,3623.01
61,3612.69
62,3603.96
63,3594.64
64,3584.5
65,3574.93
66,3568.91
67,3562.38
68,3557.29
69,3553.43
70,3551.86
71,3551.8
72,3551.19
73,3543.85
74,3527.84
75,3516.38
76,3508.43
77,3505.12
78,3496.5
79,3483.61
80,3474.09
81,3468.07
82,3459.91
83,3454.37
84,3449.2
85,3444.39
86,3441.87
87,3440.33
88,3439.65
89,3435.75
90,3433.72
91,3434.67
92,3437.74
93,3442.05
94,3445.57
95,3438.38
96,3428.53
97,3416.69
98,3413.67
99,3417.13
100,3416.41
101,3419.96
102,3414.58
103,3406.01
104,3399.54
105,3395.08
106,3392.9
107,3389.92
108,3386.96
109,3385.03
110,3382.6
111,3379.53
112,3374.85
113,3370.45
114,3368.48
115,3370.76
116,3368.49
117,3363.63
118,3357.09
119,3352.39
120,3348.78
121,3345.72
122,3341.25
123,3339.53
124,3338.55
125,3338.02
126,3336.31
127,3334.74
128,3331.25
129,3329.21
130,3328.53
131,3327.04
132,3326.4
133,3325.23
134,3324.42
135,3323.35
136,3322.09
137,3319.77
138,3316.89
139,3314.62
140,3313.01
141,3312.4
142,3311.68
143,3310.91
144,3310.86
145,3311.78
146,3309.89
147,3307.25
148,3305.95
149,3304.29
150,3302.52
151,3300.91
152,3300.54
153,3299.22
154,3298.75
155,3297.79
156,3294.49
157,3290.87
158,3288.57
159,3287.35
160,3287.11
161,3286.44
162,3285.14
163,3283.48
164,3282.09
165,3281.64
166,3281.23
167,3281.1
168,3280.93
169,3280.47
170,3279.86
171,3278.93
172,3276.59
173,3274.94
174,3273.49
175,3272.56
176,3272.19
177,3272.08
178,3272.08
179,3272.06
180,3271.65
181,3270.31
182,3268.55
183,3267.83
184,3267.22
185,3266.71
186,3266.12
187,3264.62
188,3262.65
189,3261.48
190,3261.22
191,3260.9
192,3260.53
193,3260.23
194,3260.1
195,3260.02
196,3260.02
197,3260.26
198,3264.15
199,3267.27
200,3269.19
201,3264.92
202,3261.95
203,3264.71
204,3262.71
205,3262.1
206,3259.21
207,3257.71
208,3256.15
209,3255.86
210,3256.16
211,3258.63
212,3259.62
213,3258.76
214,3257.68
215,3255.59
216,3255.34
217,3255.3
218,3255.25
219,3255.96
220,3257.93
221,3254.74
222,3253.47
223,3253.55
224,3253.25
225,3253.05
226,3252.54
227,3252.05
228,3251.77
229,3251.68
230,3251.67
231,3251.66
232,3251.7
233,3251.96
234,3253.07
235,3252.05
236,3250.25
237,3249.5
238,3249.4
239,3249.4
240,3249.4
241,3249.39
242,3249.35
243,3249.31
244,3249.3
245,3249.3
246,3249.29
247,3249.27
248,3249.17
249,3249.08
250,3249.05
251,3249.04
252,3249.54
253,3252.92
254,3258.82
255,3253.61
256,3249.89
257,3249.36
258,3253.19
259,3255.39
260,3258.47
261,3252.85
262,3248.28
263,3246.62
264,3246.97
265,3250.77
266,3253.37
267,3251.4
268,3247.28
269,3246.27
270,3247.06
271,3251.93
272,3251.01
273,3248.11
274,3245.57
275,3244.83
276,3246.88
277,3248.25
278,3254.5
279,3251.97
280,3252.67
281,3250.96
282,3246.93
283,3244.39
284,3244.15
285,3244.11
286,3243.96
287,3243.77
288,3243.7
289,3243.67
290,3243.63
291,3243.56
292,3243.5
293,3243.46
294,3243.46
295,3243.46
296,3243.46
297,3243.46
298,3243.46
299,3243.46
300,3243.46
301,3243.46
302,3243.46
303,3243.46
304,3243.46
305,3243.46
306,3243.46
307,3243.45
308,3243.5
309,3243.49
310,3244.61
311,3248.2
312,3248.38
313,3245.96
314,3244.94
315,3243.62
316,3243.95
317,3244.65
318,3243.78
319,3243.15
320,3243.15
