#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1        0.98        0.98           0
           2        0.98        0.98 1.05367e-08
           3        0.98        0.98 1.72064e-08
           4        0.98        0.98 2.68635e-08
           5        0.98        0.98 3.97054e-08
           6        0.98        0.98 5.45811e-08
           7    0.980001        0.98 7.07945e-08
           8    0.980001        0.98 8.81565e-08
           9    0.980001        0.98 1.06994e-07
          10    0.980001        0.98 1.26879e-07
          11    0.980001    0.980001  1.4789e-07
          12    0.980002    0.980001 1.69954e-07
          13    0.980002    0.980001 1.92986e-07
          14    0.980003    0.980001 2.17001e-07
          15    0.980003    0.980001 2.41855e-07
          16    0.980003    0.980001 2.67612e-07
          17    0.980004    0.980001 2.94241e-07
          18    0.980004    0.980001 3.21653e-07
          19    0.980005    0.980002 3.49864e-07
          20    0.980005    0.980002 3.78853e-07
          21    0.980006    0.980002 4.08597e-07
          22    0.980007    0.980002 4.39079e-07
          23    0.980007    0.980002 4.70278e-07
          24    0.980008    0.980003 5.02169e-07
          25    0.980009    0.980003 5.34738e-07
          26    0.980009    0.980003 5.67987e-07
          27     0.98001    0.980003 6.01885e-07
          28    0.980011    0.980004 6.36438e-07
          29    0.980012    0.980004 6.71619e-07
          30    0.980013    0.980004 7.07418e-07
          31    0.980013    0.980005 7.43829e-07
          32    0.980014    0.980005 7.80842e-07
          33    0.980015    0.980005  8.1844e-07
          34    0.980016    0.980005 8.56619e-07
          35    0.980017    0.980006 8.95371e-07
          36    0.980018    0.980006 9.34684e-07
          37    0.980019    0.980007 9.74559e-07
          38     0.98002    0.980007 1.01498e-06
          39    0.980022    0.980007 1.05594e-06
          40    0.980023    0.980008 1.09744e-06
          41    0.980024    0.980008 1.13946e-06
          42    0.980025    0.980008   1.182e-06
          43    0.980026    0.980009 1.22506e-06
          44    0.980028    0.980009 1.26862e-06
          45    0.980029     0.98001 1.31269e-06
          46     0.98003     0.98001 1.35725e-06
          47    0.980032    0.980011  1.4023e-06
          48    0.980033    0.980011 1.44783e-06
          49    0.980034    0.980012 1.49385e-06
          50    0.980036    0.980012 1.54034e-06
          51    0.980037    0.980013  1.5873e-06
          52    0.980039    0.980013 1.63473e-06
          53     0.98004    0.980014 1.68262e-06
          54    0.980042    0.980014 1.73096e-06
          55    0.980043    0.980015 1.77976e-06
          56    0.980045    0.980015   1.829e-06
          57    0.980047    0.980016 1.87869e-06
          58    0.980048    0.980016 1.92882e-06
          59     0.98005    0.980017 1.97939e-06
          60    0.980052    0.980017 2.03039e-06
          61    0.980054    0.980018 2.08182e-06
          62    0.980055    0.980019 2.13367e-06
          63    0.980057    0.980019 2.18595e-06
          64    0.980059     0.98002 2.23865e-06
          65    0.980061     0.98002 2.29176e-06
          66    0.980063    0.980021 2.34529e-06
          67    0.980065    0.980022 2.39922e-06
          68    0.980067    0.980022 2.45356e-06
          69    0.980069    0.980023 2.50831e-06
          70    0.980071    0.980024 2.56345e-06
          71    0.980073    0.980024   2.619e-06
          72    0.980075    0.980025 2.67494e-06
          73    0.980077    0.980026 2.73127e-06
          74    0.980079    0.980027   2.788e-06
          75    0.980081    0.980027 2.84511e-06
          76    0.980084    0.980028  2.9026e-06
          77    0.980086    0.980029 2.96048e-06
          78    0.980088     0.98003 3.01874e-06
          79    0.980091     0.98003 3.07738e-06
          80    0.980093    0.980031 3.13639e-06
          81    0.980095    0.980032 3.19578e-06
          82    0.980098    0.980033 3.25554e-06
          83      0.9801    0.980034 3.31566e-06
          84    0.980102    0.980034 3.37616e-06
          85    0.980105    0.980035 3.43702e-06
          86    0.980107    0.980036 3.49824e-06
          87     0.98011    0.980037 3.55982e-06
          88    0.980113    0.980038 3.62177e-06
          89    0.980115    0.980039 3.68407e-06
          90    0.980118     0.98004 3.74672e-06
          91     0.98012     0.98004 3.80973e-06
          92    0.980123    0.980041  3.8731e-06
          93    0.980126    0.980042 3.93681e-06
          94    0.980129    0.980043 4.00087e-06
          95    0.980131    0.980044 4.06528e-06
          96    0.980134    0.980045 4.13003e-06
          97    0.980137    0.980046 4.19513e-06
          98     0.98014    0.980047 4.26056e-06
          99    0.980143    0.980048 4.32634e-06
         100    0.980146    0.980049 4.39246e-06
         101    0.980149     0.98005 4.45892e-06
         102    0.980152    0.980051 4.52571e-06
         103    0.980155    0.980052 4.59283e-06
         104    0.980158    0.980053 4.66029e-06
         105    0.980161    0.980054 4.72808e-06
         106    0.980164    0.980055  4.7962e-06
         107    0.980167    0.980056 4.86465e-06
         108     0.98017    0.980057 4.93343e-06
         109    0.980174    0.980058 5.00254e-06
         110    0.980177    0.980059 5.07197e-06
         111     0.98018     0.98006 5.14172e-06
         112    0.980183    0.980061 5.21179e-06
         113    0.980187    0.980062 5.28219e-06
         114     0.98019    0.980064 5.35291e-06
         115    0.980193    0.980065 5.42395e-06
         116    0.980197    0.980066  5.4953e-06
         117      0.9802    0.980067 5.56697e-06
         118    0.980204    0.980068 5.63896e-06
         119    0.980207    0.980069 5.71127e-06
         120    0.980211    0.980071 5.78389e-06
         121    0.980214    0.980072 5.85684e-06
         122    0.980218    0.980073 5.93011e-06
         123    0.980222    0.980074  6.0037e-06
         124    0.980225    0.980075 6.07761e-06
         125    0.980229    0.980077 6.15185e-06
         126    0.980233    0.980078 6.22641e-06
         127    0.980236    0.980079  6.3013e-06
         128     0.98024     0.98008  6.3765e-06
         129    0.980244    0.980082 6.45203e-06
         130    0.980248    0.980083 6.52787e-06
         131    0.980252    0.980084 6.60403e-06
         132    0.980256    0.980085 6.68051e-06
         133     0.98026    0.980087  6.7573e-06
         134    0.980264    0.980088  6.8344e-06
         135    0.980268    0.980089 6.91183e-06
         136    0.980272    0.980091 6.98956e-06
         137    0.980276    0.980092 7.06761e-06
         138     0.98028    0.980093 7.14598e-06
         139    0.980284    0.980095 7.22466e-06
         140    0.980288    0.980096 7.30365e-06
         141    0.980292    0.980098 7.38296e-06
         142    0.980296    0.980099 7.46258e-06
         143    0.980301      0.9801 7.54252e-06
         144    0.980305    0.980102 7.62276e-06
         145    0.980309    0.980103 7.70332e-06
         146    0.980314    0.980105 7.78418e-06
         147    0.980318    0.980106 7.86534e-06
         148    0.980322    0.980108 7.94681e-06
         149    0.980327    0.980109 8.02858e-06
         150    0.980331    0.980111 8.11066e-06
         151    0.980336    0.980112 8.19303e-06
         152     0.98034    0.980114  8.2757e-06
         153    0.980345    0.980115 8.35868e-06
         154     0.98035    0.980117 8.44195e-06
         155    0.980354    0.980118 8.52553e-06
         156    0.980359     0.98012 8.60941e-06
         157    0.980364    0.980121 8.69359e-06
         158    0.980368    0.980123 8.77808e-06
         159    0.980373    0.980124 8.86287e-06
         160    0.980378    0.980126 8.94797e-06
         161    0.980383    0.980128 9.03336e-06
         162    0.980388    0.980129 9.11906e-06
         163    0.980392    0.980131 9.20505e-06
         164    0.980397    0.980132 9.29135e-06
         165    0.980402    0.980134 9.37795e-06
         166    0.980407    0.980136 9.46485e-06
         167    0.980412    0.980137 9.55206e-06
         168    0.980417    0.980139 9.63956e-06
         169    0.980422    0.980141 9.72737e-06
         170    0.980428    0.980142 9.81547e-06
         171    0.980433    0.980144 9.90387e-06
         172    0.980438    0.980146 9.99257e-06
         173    0.980443    0.980147 1.00816e-05
         174    0.980448    0.980149 1.01708e-05
         175    0.980454    0.980151 1.02604e-05
         176    0.980459    0.980153 1.03503e-05
         177    0.980464    0.980154 1.04404e-05
         178     0.98047    0.980156 1.05309e-05
         179    0.980475    0.980158 1.06216e-05
         180    0.980481     0.98016 1.07127e-05
         181    0.980486    0.980162  1.0804e-05
         182    0.980492    0.980163 1.08956e-05
         183    0.980497    0.980165 1.09875e-05
         184    0.980503    0.980167 1.10798e-05
         185    0.980508    0.980169 1.11723e-05
         186    0.980514    0.980171 1.12651e-05
         187     0.98052    0.980173 1.13582e-05
         188    0.980525    0.980175 1.14516e-05
         189    0.980531    0.980176 1.15453e-05
         190    0.980537    0.980178 1.16393e-05
         191    0.980543     0.98018 1.17335e-05
         192    0.980548    0.980182 1.18281e-05
         193    0.980554    0.980184  1.1923e-05
         194     0.98056    0.980186 1.20182e-05
         195    0.980566    0.980188 1.21137e-05
         196    0.980572     0.98019 1.22094e-05
         197    0.980578    0.980192 1.23055e-05
         198    0.980584    0.980194 1.24018e-05
         199     0.98059    0.980196 1.24985e-05
         200    0.980596    0.980198 1.25954e-05
         201    0.980603      0.9802 1.26927e-05
         202    0.980609    0.980202 1.27902e-05
         203    0.980615    0.980204  1.2888e-05
         204    0.980621    0.980206 1.29861e-05
         205    0.980627    0.980208 1.30845e-05
         206    0.980634     0.98021 1.31832e-05
         207     0.98064    0.980212 1.32822e-05
         208    0.980646    0.980214 1.33815e-05
         209    0.980653    0.980216  1.3481e-05
         210    0.980659    0.980218 1.35809e-05
         211    0.980666    0.980221  1.3681e-05
         212    0.980672    0.980223 1.37814e-05
         213    0.980679    0.980225 1.38822e-05
         214    0.980685    0.980227 1.39832e-05
         215    0.980692    0.980229 1.40845e-05
         216    0.980699    0.980231 1.41861e-05
         217    0.980705    0.980234 1.42879e-05
         218    0.980712    0.980236 1.43901e-05
         219    0.980719    0.980238 1.44925e-05
         220    0.980726     0.98024 1.45953e-05
         221    0.980733    0.980242 1.46983e-05
         222    0.980739    0.980245 1.48016e-05
         223    0.980746    0.980247 1.49052e-05
         224    0.980753    0.980249 1.50091e-05
         225     0.98076    0.980251 1.51133e-05
         226    0.980767    0.980254 1.52178e-05
         227    0.980774    0.980256 1.53225e-05
         228    0.980781    0.980258 1.54276e-05
         229    0.980788    0.980261 1.55329e-05
         230    0.980796    0.980263 1.56385e-05
         231    0.980803    0.980265 1.57444e-05
         232     0.98081    0.980268 1.58507e-05
         233    0.980817     0.98027 1.59572e-05
         234    0.980824    0.980272  1.6064e-05
         235    0.980832    0.980275 1.61711e-05
         236    0.980839    0.980277 1.62785e-05
         237    0.980847     0.98028 1.63861e-05
         238    0.980854    0.980282 1.64941e-05
         239    0.980861    0.980284 1.66024e-05
         240    0.980869    0.980287  1.6711e-05
         241    0.980877    0.980289 1.68199e-05
         242    0.980884    0.980292  1.6929e-05
         243    0.980892    0.980294 1.70385e-05
         244    0.980899    0.980297 1.71483e-05
         245    0.980907    0.980299 1.72584e-05
         246    0.980915    0.980302 1.73687e-05
         247    0.980923    0.980304 1.74794e-05
         248     0.98093    0.980307 1.75903e-05
         249    0.980938    0.980309 1.77016e-05
         250    0.980946    0.980312 1.78132e-05
         251    0.980954    0.980314  1.7925e-05
         252    0.980962    0.980317 1.80372e-05
         253     0.98097    0.980319 1.81496e-05
         254    0.980978    0.980322 1.82623e-05
         255    0.980986    0.980325 1.83754e-05
         256    0.980994    0.980327 1.84887e-05
         257    0.981002     0.98033 1.86023e-05
         258     0.98101    0.980333 1.87162e-05
         259    0.981019    0.980335 1.88305e-05
         260    0.981027    0.980338  1.8945e-05
         261    0.981035    0.980341 1.90598e-05
         262    0.981043    0.980343 1.91749e-05
         263    0.981052    0.980346 1.92902e-05
         264     0.98106    0.980349 1.94059e-05
         265    0.981068    0.980351 1.95219e-05
         266    0.981077    0.980354 1.96382e-05
         267    0.981085    0.980357 1.97548e-05
         268    0.981094     0.98036 1.98716e-05
         269    0.981103    0.980362 1.99888e-05
         270    0.981111    0.980365 2.01063e-05
         271     0.98112    0.980368  2.0224e-05
         272    0.981128    0.980371 2.03421e-05
         273    0.981137    0.980373 2.04604e-05
         274    0.981146    0.980376  2.0579e-05
         275    0.981155    0.980379  2.0698e-05
         276    0.981164    0.980382 2.08172e-05
         277    0.981172    0.980385 2.09367e-05
         278    0.981181    0.980388 2.10565e-05
         279     0.98119    0.980391 2.11766e-05
         280    0.981199    0.980393  2.1297e-05
         281    0.981208    0.980396 2.14177e-05
         282    0.981217    0.980399 2.15387e-05
         283    0.981226    0.980402   2.166e-05
         284    0.981236    0.980405 2.17816e-05
         285    0.981245    0.980408 2.19035e-05
         286    0.981254    0.980411 2.20257e-05
         287    0.981263    0.980414 2.21482e-05
         288    0.981272    0.980417 2.22709e-05
         289    0.981282     0.98042  2.2394e-05
         290    0.981291    0.980423 2.25174e-05
         291      0.9813    0.980426  2.2641e-05
         292     0.98131    0.980429  2.2765e-05
         293    0.981319    0.980432 2.28892e-05
         294    0.981329    0.980435 2.30137e-05
         295    0.981338    0.980438 2.31386e-05
         296    0.981348    0.980441 2.32637e-05
         297    0.981358    0.980444 2.33891e-05
         298    0.981367    0.980447 2.35148e-05
         299    0.981377    0.980451 2.36408e-05
         300    0.981387    0.980454  2.3767e-05
         301    0.981397    0.980457 2.38936e-05
         302    0.981406     0.98046 2.40205e-05
         303    0.981416    0.980463 2.41476e-05
         304    0.981426    0.980466 2.42751e-05
         305    0.981436    0.980469 2.44028e-05
         306    0.981446    0.980473 2.45309e-05
         307    0.981456    0.980476 2.46592e-05
         308    0.981466    0.980479 2.47878e-05
         309    0.981476    0.980482 2.49168e-05
         310    0.981486    0.980485  2.5046e-05
         311    0.981496    0.980489 2.51755e-05
         312    0.981507    0.980492 2.53053e-05
         313    0.981517    0.980495 2.54354e-05
         314    0.981527    0.980499 2.55658e-05
         315    0.981538    0.980502 2.56965e-05
         316    0.981548    0.980505 2.58276e-05
         317    0.981558    0.980508 2.59589e-05
         318    0.981569    0.980512 2.60905e-05
         319    0.981579    0.980515 2.62224e-05
         320     0.98159    0.980519 2.63546e-05
         321      0.9816    0.980522 2.64871e-05
         322    0.981611    0.980525 2.66199e-05
         323    0.981622    0.980529  2.6753e-05
         324    0.981632    0.980532 2.68863e-05
         325    0.981643    0.980536   2.702e-05
         326    0.981654    0.980539  2.7154e-05
         327    0.981665    0.980542 2.72883e-05
         328    0.981675    0.980546 2.74229e-05
         329    0.981686    0.980549 2.75578e-05
         330    0.981697    0.980553 2.76929e-05
         331    0.981708    0.980556 2.78284e-05
         332    0.981719     0.98056 2.79642e-05
         333     0.98173    0.980563 2.81003e-05
         334    0.981741    0.980567 2.82367e-05
         335    0.981753     0.98057 2.83733e-05
         336    0.981764    0.980574 2.85103e-05
         337    0.981775    0.980577 2.86476e-05
         338    0.981786    0.980581 2.87852e-05
         339    0.981797    0.980585  2.8923e-05
         340    0.981809    0.980588 2.90612e-05
         341     0.98182    0.980592 2.91997e-05
         342    0.981832    0.980595 2.93384e-05
         343    0.981843    0.980599 2.94775e-05
         344    0.981855    0.980603 2.96169e-05
         345    0.981866    0.980606 2.97566e-05
         346    0.981878     0.98061 2.98966e-05
         347    0.981889    0.980614 3.00368e-05
         348    0.981901    0.980617 3.01774e-05
         349    0.981913    0.980621 3.03183e-05
         350    0.981924    0.980625 3.04595e-05
         351    0.981936    0.980629  3.0601e-05
         352    0.981948    0.980632 3.07428e-05
         353     0.98196    0.980636 3.08849e-05
         354    0.981972     0.98064 3.10273e-05
         355    0.981984    0.980644   3.117e-05
         356    0.981996    0.980648  3.1313e-05
         357    0.982008    0.980651 3.14563e-05
         358     0.98202    0.980655 3.15999e-05
         359    0.982032    0.980659 3.17439e-05
         360    0.982044    0.980663 3.18881e-05
         361    0.982057    0.980667 3.20327e-05
         362    0.982069    0.980671 3.21775e-05
         363    0.982081    0.980674 3.23227e-05
         364    0.982094    0.980678 3.24682e-05
         365    0.982106    0.980682  3.2614e-05
         366    0.982118    0.980686   3.276e-05
         367    0.982131     0.98069 3.29064e-05
         368    0.982143    0.980694 3.30532e-05
         369    0.982156    0.980698 3.32002e-05
         370    0.982169    0.980702 3.33475e-05
         371    0.982181    0.980706 3.34952e-05
         372    0.982194     0.98071 3.36431e-05
         373    0.982207    0.980714 3.37914e-05
         374     0.98222    0.980718 3.39399e-05
         375    0.982232    0.980722 3.40888e-05
         376    0.982245    0.980726  3.4238e-05
         377    0.982258     0.98073 3.43875e-05
         378    0.982271    0.980734 3.45373e-05
         379    0.982284    0.980738 3.46875e-05
         380    0.982297    0.980742 3.48379e-05
         381     0.98231    0.980747 3.49887e-05
         382    0.982323    0.980751 3.51398e-05
         383    0.982337    0.980755 3.52912e-05
         384     0.98235    0.980759 3.54429e-05
         385    0.982363    0.980763 3.55949e-05
         386    0.982377    0.980767 3.57472e-05
         387     0.98239    0.980772 3.58999e-05
         388    0.982403    0.980776 3.60529e-05
         389    0.982417     0.98078 3.62062e-05
         390     0.98243    0.980784 3.63598e-05
         391    0.982444    0.980788 3.65137e-05
         392    0.982457    0.980793 3.66679e-05
         393    0.982471    0.980797 3.68225e-05
         394    0.982485    0.980801 3.69774e-05
         395    0.982499    0.980806 3.71326e-05
         396    0.982512     0.98081 3.72881e-05
         397    0.982526    0.980814  3.7444e-05
         398     0.98254    0.980819 3.76001e-05
         399    0.982554    0.980823 3.77566e-05
         400    0.982568    0.980827 3.79134e-05
         401    0.982582    0.980832 3.80706e-05
         402    0.982596    0.980836  3.8228e-05
         403     0.98261     0.98084 3.83858e-05
         404    0.982624    0.980845 3.85439e-05
         405    0.982638    0.980849 3.87023e-05
         406    0.982653    0.980854 3.88611e-05
         407    0.982667    0.980858 3.90201e-05
         408    0.982681    0.980863 3.91795e-05
         409    0.982696    0.980867 3.93392e-05
         410     0.98271    0.980872 3.94993e-05
         411    0.982725    0.980876 3.96597e-05
         412    0.982739    0.980881 3.98203e-05
         413    0.982754    0.980885 3.99814e-05
