#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     7.77177     7.77177           0
           2     1.81407     4.79292     2.10636
           3     1.82189     3.80258     1.62042
           4     1.83392     3.31041     1.28789
           5     1.88487      3.0253      1.0614
           6      1.8521     2.82977     0.90233
           7     1.85881     2.69106    0.784015
           8     1.88654     2.59049    0.692433
           9     1.86768     2.51018    0.620136
          10     1.81897     2.44106    0.561961
          11     1.81129     2.38381    0.513782
          12     1.83453     2.33804    0.473001
          13     1.87064     2.30208    0.437981
          14     1.89777      2.2732    0.407648
          15     1.88962     2.24763    0.381272
          16     1.86329     2.22361    0.358199
          17     1.90309     2.20476    0.337624
          18     1.83419     2.18417    0.319494
          19     1.84112     2.16611    0.303188
          20     1.88668     2.15214    0.288351
