#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -0.446222   -0.446222           0
           2   -0.431105   -0.438664  0.00534459
           3   -0.419258   -0.432195  0.00637115
           4   -0.361099   -0.414421   0.0161174
           5   -0.390325   -0.409602   0.0135953
           6   -0.398789     -0.4078   0.0114482
           7    -0.45498    -0.41454   0.0116288
           8   -0.489119   -0.423862   0.0134007
           9   -0.404477   -0.421708   0.0120836
          10   -0.457103   -0.425248   0.0113818
          11   -0.439892   -0.426579   0.0104247
          12    -0.39592   -0.424024  0.00986407
          13   -0.423428   -0.423978   0.0091054
          14   -0.444252   -0.425426   0.0085694
          15   -0.418948   -0.424994  0.00800898
          16   -0.445973   -0.426306  0.00761499
          17   -0.425006   -0.426229  0.00716743
          18   -0.409069   -0.425276  0.00683235
          19   -0.426831   -0.425358  0.00647324
          20   -0.484585   -0.428319  0.00679327
