#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1   0.0535153   0.0535153           0
           2   0.0484718   0.0509935  0.00178314
           3    0.053128    0.051705  0.00132311
           4   0.0489565   0.0510179  0.00115708
           5   0.0482734    0.050469  0.00104779
           6   0.0496134   0.0503264 0.000882811
           7   0.0534275   0.0507694 0.000860703
           8   0.0511404   0.0508158 0.000754364
           9   0.0460175   0.0502826 0.000838027
          10   0.0497094   0.0502253 0.000756182
          11   0.0487519   0.0500914 0.000699201
          12   0.0501763   0.0500985  0.00064097
          13   0.0475044   0.0498989  0.00062195
          14   0.0510182   0.0499789 0.000582641
          15   0.0501358   0.0499893 0.000543892
          16   0.0530653   0.0501816 0.000542813
          17   0.0530013   0.0503474 0.000535624
          18   0.0511172   0.0503902 0.000507572
          19   0.0495784   0.0503475 0.000482652
          20   0.0588293   0.0507716 0.000617332
