#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.25557     1.25557           0
           2     1.24548     1.25052  0.00356922
           3     1.23759     1.24621    0.004249
           4     1.19885     1.23437   0.0107387
           5      1.2183     1.23116  0.00905937
           6     1.22382     1.22993  0.00763154
           7     1.26123      1.2344  0.00774065
           8     1.28405     1.24061  0.00892026
           9     1.22762     1.23917  0.00804511
          10     1.26273     1.24152  0.00757793
          11      1.2513     1.24241  0.00694094
          12     1.22195     1.24071  0.00656863
          13     1.24033     1.24068  0.00606342
          14     1.25426     1.24165  0.00570739
          15     1.23738     1.24136  0.00533399
          16     1.25543     1.24224  0.00507256
          17     1.24148      1.2422  0.00477437
          18      1.2308     1.24156  0.00455092
          19     1.24261     1.24162  0.00431174
          20     1.28103     1.24359  0.00452407
