#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     6.46744     6.46744           0
           2     1.43711     3.95228     1.77849
           3     1.43701     3.11386      1.3691
           4     1.43712     2.69467     1.08911
           5     1.43708     2.44315    0.899859
           6     1.43715     2.27549    0.765343
           7     1.43706     2.15571    0.665315
           8     1.43715     2.06589    0.588182
           9     1.43711     1.99603    0.526962
          10     1.43713     1.94014     0.47722
          11     1.43719     1.89442    0.436021
          12     1.43708      1.8563    0.401348
          13     1.43682     1.82404     0.37177
          14     1.43686     1.79638    0.346242
          15     1.43703     1.77242    0.323987
          16     1.43695     1.75146    0.304416
          17     1.43702     1.73296     0.28707
          18     1.43701     1.71652    0.271592
          19     1.43704     1.70181    0.257696
          20     1.43709     1.68857    0.245151
