#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     3.33878     3.33878           0
           2     1.64835     2.49356    0.597658
           3      1.6284     2.20518    0.462816
           4     1.61653     2.05802    0.369769
           5     1.62712     1.97184    0.305693
           6     1.65157     1.91846    0.259362
           7      1.6663     1.88244    0.224798
           8     1.61373     1.84885    0.199192
           9     1.61767     1.82316    0.178708
          10     1.60099     1.80094    0.162212
          11     1.62947     1.78535    0.148213
          12     1.60259     1.77012    0.136642
          13     1.62046     1.75861    0.126615
          14     1.58575     1.74626    0.118172
          15      1.6407     1.73923    0.110503
          16     1.64758      1.7335    0.103745
          17     1.60934      1.7262   0.0978991
          18     1.63935     1.72137   0.0925791
          19     1.60614     1.71531   0.0879049
          20     1.61302     1.71019   0.0836583
