#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -10.1559    -10.1559           0
           2    -5.05819    -7.60703      1.8023
           3    -5.03794    -6.75067     1.39018
           4    -5.02552    -6.31938     1.10751
           5    -5.03528    -6.06256    0.915304
           6    -5.06056    -5.89556    0.777839
           7     -5.0769    -5.77861    0.675454
           8    -5.02132    -5.68395    0.597618
           9    -5.02522    -5.61076    0.535679
          10    -5.01041    -5.55072    0.485464
          11    -5.03691    -5.50401    0.443572
          12    -5.01044    -5.46288     0.40851
          13     -5.0269    -5.42934    0.378461
          14     -4.9934    -5.39821    0.352706
          15    -5.04946    -5.37496    0.329958
          16    -5.05505    -5.35496    0.309941
          17    -5.01666    -5.33506    0.292347
          18    -5.04641    -5.31902    0.276545
          19    -5.01251    -5.30289     0.26246
          20     -5.0226    -5.28888    0.249711
