#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     3.74976     3.74976           0
           2     1.97837     2.86406    0.626281
           3     1.95016     2.55943    0.485995
           4     2.08429     2.44064    0.378734
           5     2.14904     2.38232    0.307445
           6     1.89881     2.30174    0.266556
           7     1.87539     2.24083    0.235333
           8     2.14245     2.22853    0.206237
           9     2.12657      2.2172    0.183633
          10     2.17851     2.21333     0.16531
          11      1.9878     2.19283    0.151548
          12     2.26546     2.19888     0.13904
          13     2.12463     2.19317    0.128462
          14     2.26884     2.19858      0.1194
          15     1.95116     2.18208    0.112573
          16     2.03061     2.17261    0.105935
          17     2.19811     2.17411   0.0997139
          18     2.04514     2.16695   0.0944314
          19     2.24031     2.17081   0.0895402
          20     2.07988     2.16626   0.0851785
