#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.06733     1.06733           0
           2     1.08631     1.07682  0.00671254
           3     1.06839     1.07401  0.00502864
           4     1.08031     1.07559  0.00401046
           5     1.05717      1.0719  0.00459884
           6      1.0938     1.07555  0.00507844
           7     1.09839     1.07881  0.00529828
           8     1.07289     1.07807  0.00468745
           9      1.0929     1.07972  0.00444657
          10     1.07076     1.07882  0.00409127
          11     1.07534     1.07851  0.00373155
          12     1.09906     1.08022  0.00379331
          13      1.1062     1.08222  0.00399349
          14     1.06178     1.08076  0.00396603
          15     1.08756     1.08121  0.00372744
          16     1.07021     1.08053  0.00355738
          17     1.09001     1.08108  0.00339164
          18     1.08983     1.08157  0.00323781
          19     1.09294     1.08217   0.0031222
          20     1.07344     1.08173  0.00299643
