#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -3.40942    -3.40942           0
           2    -3.40744    -3.40843 0.000699124
           3    -3.40786    -3.40824 0.000491435
           4    -3.40644    -3.40779 0.000535719
           5    -3.40765    -3.40776 0.000429235
           6    -3.40876    -3.40793 0.000388399
           7    -3.40746    -3.40786 0.000338476
           8    -3.40732    -3.40779 0.000302851
           9    -3.40707    -3.40771 0.000279799
          10    -3.40638    -3.40758 0.000281936
          11    -3.40958    -3.40776 0.000309422
          12    -3.40879    -3.40785 0.000295355
          13    -3.40683    -3.40777 0.000282854
          14     -3.4089    -3.40785 0.000274028
          15    -3.40799    -3.40786 0.000255911
          16     -3.4083    -3.40789  0.00024138
          17    -3.40926    -3.40797 0.000240426
          18     -3.4082    -3.40798 0.000227432
          19    -3.40844      -3.408 0.000216758
          20    -3.40879    -3.40804 0.000209454
