#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     2.40954     2.40954           0
           2     1.21051     1.81002     0.42392
           3     1.20574      1.6086    0.326984
           4     1.21026     1.50901    0.259961
           5     1.20888     1.44898    0.214787
           6     1.20869     1.40894    0.182685
           7     1.20565      1.3799    0.158878
           8     1.21015     1.35868    0.140428
           9     1.20812     1.34195    0.125818
          10      1.2076     1.32851    0.113951
          11     1.20126     1.31695    0.104177
          12     1.20228     1.30739    0.095933
          13     1.21182     1.30004   0.0888348
          14     1.21093     1.29367   0.0827172
          15     1.20513     1.28777    0.077413
          16     1.20119     1.28236   0.0727636
          17      1.2121     1.27823   0.0686007
          18     1.20392      1.2741   0.0649136
          19      1.2086     1.27065   0.0615886
          20     1.20402     1.26732   0.0585992
