#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -6.65575    -6.65575           0
           2    -6.64906     -6.6524  0.00236366
           3    -6.65058     -6.6518  0.00165225
           4    -6.65984    -6.65381  0.00213814
           5    -6.65858    -6.65476  0.00191139
           6     -6.6524    -6.65437  0.00163287
           7    -6.64831     -6.6535  0.00161253
           8    -6.66024    -6.65435  0.00161575
           9    -6.65096    -6.65397  0.00147937
          10    -6.65599    -6.65417  0.00134519
          11     -6.6512     -6.6539  0.00124963
          12    -6.66242    -6.65461  0.00133206
          13    -6.66023    -6.65504  0.00129779
          14    -6.64515    -6.65434   0.0013841
          15    -6.65722    -6.65453  0.00130507
          16    -6.65553    -6.65459  0.00122499
          17    -6.65207    -6.65444  0.00116184
          18     -6.6533    -6.65438  0.00109904
          19     -6.6533    -6.65432  0.00104267
          20    -6.65832    -6.65452  0.00100954
