#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     9.65126     9.65126           0
           2     9.67799     9.66462  0.00945204
           3     9.66986     9.66637  0.00646058
           4     9.63902     9.65953  0.00765145
           5     9.61809     9.65124   0.0096139
           6     9.65793     9.65236  0.00807583
           7     9.67831     9.65606  0.00772644
           8     9.62028     9.65159  0.00795091
           9       9.678     9.65453  0.00758952
          10     9.66068     9.65514  0.00685549
          11     9.67944     9.65735   0.0065785
          12     9.60032      9.6526  0.00755417
          13     9.61115     9.64941  0.00761617
          14     9.68936     9.65226  0.00758803
          15     9.64473     9.65176  0.00709878
          16     9.65946     9.65224  0.00667139
          17     9.65746     9.65255  0.00628601
          18     9.66249      9.6531  0.00596099
          19     9.67436     9.65422  0.00575133
          20     9.63177      9.6531  0.00557221
