#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1    0.805064    0.805064           0
           2    0.800839    0.802951  0.00149368
           3    0.801522    0.802475  0.00106905
           4    0.807879    0.803826  0.00141837
           5    0.807284    0.804518  0.00129237
           6     0.80342    0.804335  0.00108986
           7    0.800793    0.803829  0.00104503
           8    0.808067    0.804359  0.00104007
           9     0.80261    0.804164 0.000942469
          10    0.805733    0.804321 0.000861179
          11    0.802678    0.804172 0.000795747
          12    0.809968    0.804655 0.000863658
          13    0.808309    0.804936 0.000841714
          14    0.798657    0.804487 0.000893131
          15    0.806376    0.804613 0.000842414
          16    0.805507    0.804669 0.000791611
          17    0.802588    0.804547 0.000754454
          18      0.8035    0.804488 0.000714779
          19     0.80334    0.804428 0.000679712
          20    0.806871     0.80455 0.000656614
