#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -5.44815    -5.44815           0
           2     -5.4478    -5.44798  0.00012314
           3     -5.4483    -5.44808  0.00011931
           4    -5.44803    -5.44807 9.03626e-05
           5    -5.44765    -5.44799 0.000104116
           6    -5.44727    -5.44787  0.00013913
           7    -5.44712    -5.44776  0.00015449
           8    -5.44814    -5.44781 0.000142125
           9    -5.44704    -5.44772 0.000149536
          10    -5.44739    -5.44769 0.000138184
          11    -5.44719    -5.44764 0.000132907
          12    -5.44747    -5.44763 0.000122606
          13    -5.44777    -5.44764 0.000113625
          14    -5.44717    -5.44761 0.000110401
          15    -5.44765    -5.44761 0.000103086
          16    -5.44727    -5.44759 9.88562e-05
          17    -5.44819    -5.44762 9.92482e-05
          18    -5.44805    -5.44765 9.65084e-05
          19    -5.44829    -5.44768 9.71096e-05
          20    -5.44802     -5.4477 9.36907e-05
