#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.933799    0.933799           0
           2     0.90594    0.919869  0.00984964
           3    0.897954    0.912564  0.00887087
           4    0.862255    0.899987   0.0127635
           5    0.902748    0.900539   0.0102227
           6    0.876664     0.89656  0.00926104
           7    0.846426    0.889398    0.010343
           8    0.875026    0.887601  0.00920486
           9    0.891495    0.888034  0.00819226
          10    0.899681    0.889199  0.00745537
          11     0.86088    0.886624   0.0072084
          12     0.87322    0.885507   0.0066937
          13    0.817507    0.880277  0.00796456
          14    0.889025    0.880901  0.00742013
          15    0.912147    0.882984  0.00721192
          16    0.908359     0.88457  0.00693336
          17    0.895457    0.885211  0.00655502
          18    0.875695    0.884682  0.00621214
          19    0.857019    0.883226  0.00605339
          20     0.89887    0.884008  0.00580104
          21    0.881863    0.883906  0.00552569
          22     0.89086    0.884222  0.00528356
          23    0.881106    0.884087  0.00505558
          24    0.917763     0.88549  0.00503589
          25      0.9351    0.887474  0.00521079
          26    0.885113    0.887384  0.00501117
          27    0.898527    0.887796  0.00484254
          28    0.838668    0.886042  0.00497732
          29    0.914495    0.887023  0.00490143
          30    0.922055    0.888191  0.00487517
          31    0.901591    0.888623  0.00473704
          32    0.911661    0.889343  0.00464339
          33    0.868896    0.888723  0.00454384
          34    0.847959    0.887524  0.00456564
          35    0.910306    0.888175  0.00448135
          36    0.886906     0.88814    0.004357
          37    0.905369    0.888606  0.00426406
          38    0.876404    0.888284  0.00416392
          39    0.866862    0.887735  0.00409322
          40    0.914264    0.888398  0.00404426
          41    0.938544    0.889621  0.00412642
          42    0.917154    0.890277  0.00407991
          43      0.8891     0.89025  0.00398512
          44    0.879841    0.890013  0.00390156
          45    0.891523    0.890047    0.003815
          46    0.896068    0.890178  0.00373431
          47    0.856073    0.889452  0.00372469
          48    0.932171    0.890342  0.00375191
          49    0.880073    0.890132  0.00368119
          50    0.870193    0.889734   0.0036291
          51    0.899507    0.889925    0.003563
          52    0.902211    0.890161  0.00350231
          53    0.906284    0.890466  0.00344941
          54    0.897307    0.890592  0.00338786
          55     0.86101    0.890054  0.00336869
          56    0.888755    0.890031  0.00330861
          57    0.856578    0.889444  0.00330221
          58    0.907197     0.88975  0.00325943
          59    0.900495    0.889933  0.00320927
          60    0.908043    0.890234  0.00316994
          61    0.885017    0.890149  0.00311913
          62    0.845482    0.889428  0.00315092
          63    0.876706    0.889226  0.00310737
          64    0.896712    0.889343  0.00306102
          65     0.93669    0.890072  0.00309938
          66    0.911134    0.890391  0.00306881
          67    0.886896    0.890339  0.00302345
          68    0.901872    0.890508  0.00298374
          69    0.922289    0.890969  0.00297584
          70    0.873878    0.890725  0.00294332
          71    0.906822    0.890952  0.00291059
          72    0.934134    0.891551   0.0029313
          73    0.844499    0.890907  0.00296117
          74    0.907825    0.891135  0.00292996
          75    0.868362    0.890832  0.00290659
          76    0.880616    0.890697  0.00287145
          77    0.904676    0.890879  0.00283989
          78    0.891809    0.890891  0.00280351
          79    0.879521    0.890747  0.00277171
          80    0.884972    0.890675  0.00273801
          81     0.86744    0.890388  0.00271919
          82    0.894397    0.890437  0.00268647
          83    0.922584    0.890824  0.00268187
          84    0.931504    0.891308  0.00269332
          85    0.871753    0.891078  0.00267144
          86    0.894959    0.891123  0.00264076
          87    0.886728    0.891073  0.00261089
          88    0.901799    0.891195  0.00258406
          89    0.870877    0.890966  0.00256509
          90    0.873745    0.890775  0.00254372
          91    0.873195    0.890582  0.00252309
          92    0.862873    0.890281  0.00251358
          93     0.87926    0.890162  0.00248934
          94    0.901782    0.890286  0.00246592
          95    0.876596    0.890142  0.00244417
          96      0.9181    0.890433    0.002436
          97    0.843666    0.889951  0.00245814
          98    0.921115    0.890269  0.00245354
          99    0.861284    0.889976  0.00244616
         100    0.905266    0.890129  0.00242647
