#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    -8.08095    -8.08095           0
           2    0.282032    -3.89946     2.95676
           3    0.258008    -2.51364     2.27285
           4    0.261609    -1.81982     1.80744
           5    0.253461    -1.40517     1.49276
           6    0.279792    -1.12434      1.2701
           7    0.272439   -0.924801     1.10422
           8    0.287829   -0.773222    0.976544
           9    0.260798   -0.658331    0.874772
          10     0.23763   -0.568735    0.791869
          11    0.308998   -0.488941     0.72389
          12    0.284666   -0.424474    0.666431
          13    0.260805    -0.37176    0.617248
          14    0.260036   -0.326632    0.574806
          15    0.248883   -0.288264    0.537765
          16    0.256411   -0.254222    0.505231
          17    0.256759   -0.224164    0.476405
          18    0.260847   -0.197219    0.450699
          19    0.248256   -0.173773    0.427587
          20    0.257296    -0.15222    0.406751
          21    0.280675   -0.131606    0.387904
          22    0.262105    -0.11371    0.370684
          23    0.258581   -0.097523    0.354921
          24    0.239903  -0.0834636    0.340411
          25    0.222159  -0.0712387    0.327014
          26    0.265805  -0.0582755    0.314693
          27    0.266919  -0.0462313    0.303268
          28    0.265934  -0.0350825    0.292642
          29    0.257642  -0.0249885    0.282725
          30    0.236335  -0.0162778    0.273435
          31    0.259076 -0.00739538    0.264759
          32    0.226076-9.93962e-05    0.256586
          33    0.287165  0.00860557    0.248958
          34    0.281521   0.0166325    0.241765
          35    0.257138   0.0235041    0.234955
          36    0.248124   0.0297435    0.228511
          37    0.255968   0.0358577    0.222417
          38    0.271176   0.0420503     0.21665
          39    0.256932   0.0475601    0.211165
          40    0.251294   0.0526534    0.205948
          41    0.221707   0.0567767    0.200966
          42     0.25557   0.0615099    0.196237
          43    0.259769   0.0661205    0.191727
          44     0.25653    0.070448    0.187418
          45    0.271214   0.0749095    0.183307
          46    0.284256   0.0794605    0.179378
          47    0.278147   0.0836879    0.175611
          48    0.229586   0.0867274    0.171979
          49    0.277911   0.0906291    0.168514
          50    0.275303   0.0943226    0.165184
          51    0.271135   0.0977895    0.161981
          52    0.252278     0.10076    0.158894
          53     0.25029    0.103582    0.155921
          54    0.266187    0.106593    0.153062
          55    0.299928    0.110108     0.15032
          56    0.243759    0.112495    0.147654
          57    0.275479    0.115354    0.145092
          58    0.256493    0.117788     0.14261
          59    0.258251    0.120168    0.140213
          60    0.252138    0.122368    0.137894
          61    0.256153    0.124561     0.13565
          62    0.266354    0.126848    0.133482
          63     0.27321    0.129171    0.131383
          64    0.250824    0.131072    0.129344
          65    0.213789    0.132345     0.12736
          66    0.284122    0.134644    0.125452
          67    0.255511    0.136448    0.123592
          68    0.261022     0.13828    0.121788
          69    0.246337    0.139846    0.120033
          70    0.280181    0.141851    0.118335
          71    0.274436    0.143718    0.116683
          72    0.225821    0.144859    0.115068
          73    0.293303    0.146892     0.11351
          74    0.246339    0.148236    0.111984
          75    0.262861    0.149764    0.110501
          76    0.266251    0.151297    0.109058
          77    0.257219    0.152673     0.10765
          78    0.281338    0.154322    0.106283
          79    0.276956    0.155875    0.104949
          80     0.23968    0.156922    0.103642
          81    0.262607    0.158227    0.102371
          82    0.237071    0.159188    0.101127
          83    0.251196    0.160297   0.0999145
          84    0.235786    0.161196   0.0987291
          85    0.267693    0.162449   0.0975755
          86    0.263745    0.163626   0.0964481
          87     0.25758    0.164706   0.0953455
          88    0.243915    0.165606   0.0942663
          89    0.269146     0.16677   0.0932143
          90    0.280557    0.168034   0.0921871
          91    0.283602    0.169304   0.0911828
          92    0.261931    0.170311   0.0901973
          93    0.287988    0.171576   0.0892363
          94    0.250204    0.172413   0.0882909
          95    0.273834     0.17348    0.087368
          96    0.222303    0.173989   0.0864594
          97    0.268476    0.174963   0.0855735
          98    0.249742    0.175726   0.0847037
          99    0.270654    0.176685   0.0838536
         100    0.260374    0.177522   0.0830192
