#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     93.4355     93.4355           0
           2     89.2181     91.3268     1.49108
           3     90.5418     91.0651     1.01675
           4     90.6013     90.9491    0.769146
           5     91.1075     90.9808    0.615968
           6     89.0274     90.6553    0.593137
           7     90.4964     90.6326    0.508837
           8     88.8912     90.4149     0.48958
           9     90.6987     90.4464    0.436197
          10     91.8497     90.5868    0.414534
          11     88.3332     90.3819    0.424467
          12     89.2871     90.2907    0.398778
          13     90.6407     90.3176    0.369011
          14     90.8738     90.3573    0.344786
          15      91.138     90.4094    0.325705
          16     90.8031      90.434    0.306276
          17     90.6066     90.4441    0.288428
          18     90.0946     90.4247    0.273058
          19     90.9679     90.4533    0.260178
          20     90.3907     90.4502    0.247188
          21      89.447     90.4024    0.239989
          22     90.3769     90.4012    0.229083
          23     90.3825     90.4004    0.219124
          24     91.2137     90.4343    0.212598
          25     92.2424     90.5066    0.216046
          26     90.6396     90.5117    0.207797
          27     89.6818      90.481    0.202362
          28     90.2041     90.4711    0.195376
          29     90.7883     90.4821    0.188945
          30     91.2192     90.5066    0.184237
          31     90.3772     90.5025    0.178342
          32     91.8456     90.5444    0.177639
          33     89.2019     90.5037    0.176854
          34     89.4417     90.4725    0.174389
          35     90.1775     90.4641     0.16961
          36     91.3684     90.4892    0.166748
          37     90.6565     90.4937    0.162303
          38     89.8134     90.4758    0.159016
          39     91.1088     90.4921    0.155765
          40     90.8791     90.5017    0.152171
          41     92.4189     90.5485    0.155478
          42     90.5524     90.5486    0.151776
          43     90.4497     90.5463    0.148264
          44     90.8393     90.5529    0.145044
          45     89.7886      90.536    0.142812
          46     89.1214     90.5052    0.142979
          47     89.7859     90.4899    0.140754
          48     91.6373     90.5138    0.139837
          49     89.8013     90.4993    0.137737
          50     89.6388     90.4821    0.136053
          51     89.7207     90.4671    0.134202
          52     91.0247     90.4778    0.132049
          53     90.6882     90.4818    0.129617
          54     89.6788     90.4669    0.128067
          55     88.3179     90.4279    0.131564
          56      91.126     90.4403    0.129804
          57     89.8283     90.4296     0.12797
          58     90.2162     90.4259    0.125817
          59     90.3252     90.4242    0.123696
          60     90.7402     90.4295    0.121746
          61     90.7249     90.4343    0.119847
          62     90.1904     90.4304    0.117978
          63     89.6126     90.4174    0.116817
          64     90.6634     90.4212    0.115055
          65     92.3664     90.4512    0.117112
          66     89.2655     90.4332    0.116708
          67     90.8093     90.4388    0.115101
          68     90.2251     90.4357    0.113451
          69     90.9601     90.4433    0.112061
          70     89.4599     90.4292    0.111337
          71     88.8869     90.4075    0.111868
          72     92.1193     90.4313    0.112812
          73     88.8129     90.4091    0.113424
          74     91.6334     90.4257    0.113092
          75     90.2703     90.4236    0.111603
          76     90.2854     90.4218    0.110149
          77     90.8823     90.4277    0.108881
          78     89.1683     90.4116    0.108676
          79     89.5385     90.4005    0.107861
          80     91.7858     90.4179    0.107893
          81     90.5222     90.4192    0.106569
          82     91.4888     90.4322    0.106065
          83       90.89     90.4377     0.10493
          84     91.4797     90.4501    0.104412
          85      90.422     90.4498    0.103184
          86     90.0554     90.4452    0.102086
          87     90.8239     90.4496    0.101005
          88     91.3873     90.4602    0.100418
          89     90.3059     90.4585   0.0993047
          90     89.4061     90.4468   0.0988873
          91     89.3165     90.4344   0.0985777
          92     89.9539     90.4291   0.0976444
          93     88.7435      90.411   0.0982624
          94     91.1242     90.4186   0.0975095
          95      89.578     90.4098   0.0968837
          96     92.0143     90.4265   0.0973056
          97     90.2461     90.4246   0.0963202
          98     91.1395     90.4319   0.0956132
          99     90.1196     90.4287   0.0946994
         100     90.3692     90.4281   0.0937543
