#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     -1.0428     -1.0428           0
           2    -1.00211    -1.02245   0.0143847
           3    -1.00389    -1.01626   0.0108393
           4    -1.00318    -1.01299  0.00860899
           5    -1.00456    -1.01131   0.0070504
           6    -1.00227     -1.0098  0.00603405
           7    -1.00251    -1.00876  0.00526126
           8    -1.00205    -1.00792  0.00466994
           9    -1.00362    -1.00744  0.00417544
          10    -1.00521    -1.00722  0.00376386
          11    -1.00066    -1.00662  0.00346853
          12    -1.00217    -1.00625  0.00319929
          13    -1.00255    -1.00597  0.00296582
          14    -1.00406    -1.00583  0.00275711
          15    -1.00493    -1.00577  0.00257396
          16    -1.00433    -1.00568  0.00241467
          17    -1.00402    -1.00558   0.0022746
          18     -1.0031    -1.00545  0.00215243
          19     -1.0035    -1.00534  0.00204157
          20    -1.00366    -1.00526  0.00194122
          21    -1.00234    -1.00512  0.00185376
          22    -1.00381    -1.00506  0.00177045
          23    -1.00355    -1.00499  0.00169469
          24    -1.00516      -1.005  0.00162409
          25    -1.00656    -1.00506  0.00156032
          26    -1.00338      -1.005  0.00150166
          27    -1.00342    -1.00494  0.00144718
          28    -1.00218    -1.00484  0.00139885
          29    -1.00416    -1.00482  0.00135081
          30    -1.00551    -1.00484  0.00130598
          31    -1.00397    -1.00481  0.00126416
          32    -1.00563    -1.00484  0.00122491
          33    -1.00195    -1.00475  0.00119092
          34    -1.00196    -1.00467  0.00115871
          35     -1.0041    -1.00465  0.00112572
          36    -1.00439    -1.00465  0.00109447
          37     -1.0041    -1.00463  0.00106499
          38    -1.00259    -1.00458  0.00103832
          39    -1.00384    -1.00456  0.00101186
          40     -1.0046    -1.00456 0.000986569
          41     -1.0067    -1.00461 0.000963889
          42    -1.00446    -1.00461 0.000940946
          43    -1.00351    -1.00458 0.000919411
          44    -1.00377    -1.00456   0.0008987
          45    -1.00283    -1.00453 0.000879553
          46    -1.00241    -1.00448 0.000861628
          47    -1.00195    -1.00443 0.000844973
          48    -1.00598    -1.00446 0.000827992
          49    -1.00283    -1.00442 0.000811759
          50    -1.00264    -1.00439 0.000796307
          51     -1.0032    -1.00437 0.000781034
          52    -1.00441    -1.00437 0.000766014
          53    -1.00444    -1.00437 0.000751562
          54    -1.00308    -1.00434 0.000738023
          55    -1.00066    -1.00428 0.000727639
          56    -1.00437    -1.00428 0.000714647
          57    -1.00281    -1.00425 0.000702574
          58    -1.00404    -1.00425  0.00069047
          59     -1.0037    -1.00424 0.000678831
          60    -1.00422    -1.00424 0.000667517
          61    -1.00372    -1.00423 0.000656628
          62    -1.00266    -1.00421 0.000646524
          63     -1.0025    -1.00418 0.000636827
          64    -1.00407    -1.00418 0.000626879
          65    -1.00667    -1.00422 0.000618408
          66    -1.00259    -1.00419 0.000609531
          67    -1.00402    -1.00419 0.000600439
          68    -1.00365    -1.00418 0.000591662
          69    -1.00462    -1.00419 0.000583122
          70    -1.00253    -1.00416 0.000575272
          71    -1.00251    -1.00414 0.000567641
          72     -1.0065    -1.00417 0.000560702
          73    -1.00097    -1.00413  0.00055473
          74    -1.00515    -1.00414 0.000547406
          75    -1.00321    -1.00413 0.000540249
          76    -1.00321    -1.00412 0.000533275
          77    -1.00423    -1.00412 0.000526352
          78    -1.00233     -1.0041 0.000520105
          79    -1.00235    -1.00407 0.000513989
          80    -1.00504    -1.00409 0.000507705
          81    -1.00326    -1.00408 0.000501539
          82    -1.00505    -1.00409 0.000495563
          83    -1.00459    -1.00409 0.000489629
          84    -1.00577    -1.00411 0.000484207
          85     -1.0031     -1.0041 0.000478658
          86    -1.00347     -1.0041 0.000473149
          87    -1.00374    -1.00409 0.000467727
          88    -1.00483     -1.0041 0.000462488
          89    -1.00293    -1.00409 0.000457478
          90    -1.00219    -1.00407 0.000452879
          91    -1.00225    -1.00405 0.000448344
          92    -1.00292    -1.00403 0.000443637
          93    -1.00182    -1.00401 0.000439503
          94     -1.0046    -1.00402 0.000434872
          95    -1.00267      -1.004 0.000430524
          96    -1.00614    -1.00402 0.000426617
          97    -1.00275    -1.00401  0.00042242
          98     -1.0049    -1.00402 0.000418208
          99    -1.00261    -1.00401 0.000414225
         100    -1.00415    -1.00401 0.000410086
