#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1  -0.0355373  -0.0355373           0
           2  -0.0359762  -0.0357567 0.000155153
           3  -0.0362556   -0.035923 0.000170696
           4   -0.036697  -0.0361165 0.000210875
           5  -0.0373364  -0.0363605 0.000275819
           6  -0.0377608  -0.0365939 0.000313401
           7  -0.0381378  -0.0368144 0.000337428
           8  -0.0384998  -0.0370251 0.000354975
           9   -0.038915  -0.0372351 0.000372499
          10  -0.0390987  -0.0374215  0.00037901
          11  -0.0394752  -0.0376082 0.000387823
          12  -0.0402309  -0.0378267 0.000412521
          13  -0.0403656   -0.038022 0.000424509
          14  -0.0409031  -0.0382278 0.000441257
          15  -0.0411015  -0.0384194 0.000451516
          16  -0.0409552  -0.0385779 0.000450255
          17  -0.0416414  -0.0387581 0.000458416
          18  -0.0421888  -0.0389487 0.000470907
          19  -0.0428918  -0.0391562 0.000489724
          20  -0.0430553  -0.0393512 0.000502545
          21  -0.0433892  -0.0395435 0.000514088
          22  -0.0439387  -0.0397432 0.000528115
          23  -0.0441238  -0.0399337 0.000538404
          24  -0.0444152  -0.0401204 0.000547394
          25  -0.0451674  -0.0403223 0.000561491
          26  -0.0460836  -0.0405439 0.000581979
          27  -0.0470029  -0.0407831 0.000607604
          28  -0.0479373  -0.0410386 0.000637366
          29  -0.0483928  -0.0412922 0.000663922
          30  -0.0487473  -0.0415407 0.000686725
          31  -0.0489008  -0.0417781 0.000704421
          32   -0.050498  -0.0420506 0.000733221
          33  -0.0507648  -0.0423147 0.000757061
          34  -0.0511838  -0.0425756 0.000778439
          35  -0.0520327  -0.0428458 0.000801723
          36  -0.0539652  -0.0431546 0.000836839
          37  -0.0545675  -0.0434631 0.000869213
          38  -0.0557879  -0.0437874 0.000904829
          39  -0.0572293  -0.0441321 0.000944995
          40  -0.0591447  -0.0445074 0.000993108
          41  -0.0608366  -0.0449057   0.0010457
          42  -0.0609164  -0.0452869  0.00108807
          43  -0.0637987  -0.0457174  0.00114477
          44  -0.0651088  -0.0461581  0.00120059
          45  -0.0673076  -0.0466281  0.00126256
          46  -0.0689732  -0.0471139  0.00132527
          47   -0.071817  -0.0476395  0.00139742
          48  -0.0717471  -0.0481417  0.00145576
          49   -0.073889  -0.0486672  0.00151793
          50  -0.0786064  -0.0492659  0.00160132
          51  -0.0764114  -0.0497982  0.00165602
          52  -0.0820067  -0.0504176  0.00173615
          53  -0.0770459    -0.05092   0.0017746
          54  -0.0662608  -0.0512041  0.00176433
          55  -0.0996435  -0.0520848  0.00193965
          56  -0.0986944  -0.0529171  0.00207592
          57  -0.0971195  -0.0536926  0.00217954
          58  -0.0969093  -0.0544377  0.00226575
          59   -0.100681  -0.0552215  0.00235902
          60   -0.105115  -0.0560531  0.00246191
          61   -0.104643  -0.0568496  0.00254715
          62   -0.108803  -0.0576876  0.00264031
          63   -0.120264  -0.0586808  0.00277896
          64   -0.122059  -0.0596711  0.00290663
          65   -0.116984  -0.0605529  0.00299266
          66   -0.114539  -0.0613708  0.00305706
          67   -0.119755  -0.0622422  0.00313317
          68   -0.116486  -0.0630399  0.00318702
          69   -0.117844  -0.0638342   0.0032383
          70   -0.112024  -0.0645226  0.00326439
          71   -0.108967  -0.0651486  0.00327788
          72   -0.114644  -0.0658361  0.00330366
          73   -0.115021  -0.0665098   0.0033264
          74   -0.116094  -0.0671799  0.00334825
          75   -0.116056  -0.0678316  0.00336643
          76   -0.121934  -0.0685434  0.00339657
          77    -0.11752  -0.0691795  0.00341149
          78   -0.110805  -0.0697132  0.00340924
          79   -0.119473   -0.070343  0.00342378
          80   -0.124461  -0.0710195  0.00344716
          81   -0.121619  -0.0716442  0.00346075
          82   -0.111946  -0.0721357  0.00345327
          83   -0.125181  -0.0727748   0.0034703
          84   -0.120345  -0.0733411  0.00347488
          85   -0.118873  -0.0738768  0.00347504
          86   -0.119684  -0.0744094  0.00347522
          87   -0.119907  -0.0749324   0.0034744
          88   -0.126472   -0.075518  0.00348393
          89   -0.127836  -0.0761059  0.00349402
          90   -0.131656  -0.0767231   0.0035093
          91   -0.135382  -0.0773677  0.00352944
          92   -0.128921  -0.0779281  0.00353528
          93   -0.129452  -0.0784821  0.00354041
          94   -0.132417  -0.0790559  0.00354894
          95   -0.145538  -0.0797557  0.00357991
          96   -0.150152   -0.080489  0.00361694
          97   -0.143128  -0.0811347  0.00363684
          98   -0.147155  -0.0818084   0.0036616
          99   -0.148783  -0.0824849  0.00368658
         100   -0.159694   -0.083257  0.00372969
         101   -0.154626  -0.0839636   0.0037591
         102   -0.154444  -0.0846546  0.00378522
         103   -0.154966  -0.0853373  0.00380953
         104    -0.15773  -0.0860333  0.00383597
         105    -0.16594  -0.0867944  0.00387419
         106    -0.15887  -0.0874743  0.00389685
         107   -0.148616  -0.0880457   0.0039021
         108   -0.158933  -0.0887021  0.00392079
         109   -0.159286  -0.0893497  0.00393793
         110   -0.166385    -0.09005  0.00396391
         111   -0.162428   -0.090702  0.00398147
         112   -0.165209  -0.0913673  0.00400111
         113   -0.163174  -0.0920027  0.00401585
         114   -0.156999  -0.0925729  0.00402089
         115    -0.15686  -0.0931319   0.0040246
         116   -0.163022  -0.0937344  0.00403475
         117   -0.161563  -0.0943141   0.0040417
         118   -0.145334  -0.0947465  0.00403051
         119    -0.15207  -0.0952282  0.00402532
         120   -0.147272  -0.0956619  0.00401507
         121   -0.155696  -0.0961581  0.00401243
         122   -0.160465  -0.0966852  0.00401401
         123   -0.160872   -0.097207  0.00401516
         124   -0.151732  -0.0976467  0.00400678
         125   -0.167905  -0.0982088  0.00401396
         126   -0.167632  -0.0987598  0.00401974
         127   -0.159892  -0.0992411   0.0040168
         128   -0.141597   -0.099572  0.00399903
         129   -0.158906   -0.100032  0.00399439
         130   -0.154069   -0.100448  0.00398524
         131    -0.15973     -0.1009  0.00398042
         132    -0.16877   -0.101414  0.00398334
         133   -0.165288   -0.101895  0.00398224
         134   -0.165189   -0.102367  0.00398043
