#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -8.63487    -8.63487           0
           2    -8.57581    -8.60534   0.0208803
           3     -8.4386    -8.54976     0.04747
           4      -8.302    -8.48782   0.0643809
           5    -8.21975    -8.43421   0.0703734
           6    -8.21724    -8.39805   0.0672968
           7    -8.15493    -8.36332   0.0660394
           8    -8.04185    -8.32313   0.0689337
           9     -8.0528     -8.2931   0.0675021
          10    -7.93029    -8.25682   0.0698243
          11    -7.83874    -8.21881   0.0730922
          12    -7.79866     -8.1838   0.0749189
          13    -7.71067     -8.1474   0.0774933
          14    -7.72101    -8.11695   0.0777129
          15    -7.68648    -8.08825   0.0776501
          16    -7.69157    -8.06346   0.0766527
          17    -7.69281    -8.04165   0.0751805
          18    -7.66687    -8.02083   0.0738307
          19    -7.67206    -8.00248   0.0721908
          20    -7.67427    -7.98607   0.0704218
          21    -7.70007    -7.97245   0.0683725
          22    -7.64803     -7.9577   0.0668359
          23    -7.60238    -7.94225   0.0656912
          24    -7.61559    -7.92864   0.0643487
          25    -7.61559    -7.91612   0.0629813
          26    -7.64345    -7.90563   0.0614259
          27    -7.59163      -7.894   0.0602418
          28    -7.55979    -7.88207    0.059261
          29    -7.65898    -7.87437   0.0577147
          30    -7.71026     -7.8689   0.0560495
          31    -7.66913    -7.86246   0.0546107
          32    -7.62975    -7.85519   0.0533861
          33    -7.61104    -7.84779   0.0522784
          34    -7.65014    -7.84197    0.051063
          35    -7.60201    -7.83512   0.0500622
          36    -7.53435    -7.82676   0.0493638
          37    -7.58954    -7.82035   0.0484443
          38    -7.58412    -7.81414   0.0475666
          39     -7.6286    -7.80938   0.0465843
          40    -7.70901    -7.80687   0.0454872
          41    -7.60771    -7.80201   0.0446364
          42    -7.66013    -7.79863   0.0437012
          43    -7.57408    -7.79341   0.0429958
          44     -7.5676    -7.78828   0.0423238
          45    -7.58859    -7.78384   0.0416152
          46     -7.4937    -7.77753   0.0411858
          47    -7.45089    -7.77058   0.0408916
          48    -7.34632    -7.76175   0.0409839
          49    -7.39048    -7.75417   0.0408419
          50    -7.37431    -7.74657   0.0407255
          51    -7.38698    -7.73952   0.0405327
          52    -7.45559    -7.73406   0.0401194
          53    -7.48988    -7.72945    0.039626
          54    -7.48149    -7.72486   0.0391574
          55    -7.42001    -7.71932   0.0388357
          56    -7.38596    -7.71337   0.0385958
          57    -7.41716    -7.70817   0.0382669
          58    -7.45679    -7.70383   0.0378518
          59    -7.50277    -7.70043   0.0373633
          60    -7.47779    -7.69672   0.0369244
          61    -7.51741    -7.69378   0.0364359
          62    -7.46209    -7.69004   0.0360393
          63    -7.48648    -7.68681   0.0356118
          64    -7.52562    -7.68429   0.0351443
          65      -7.536    -7.68201   0.0346776
          66    -7.52822    -7.67968   0.0342304
          67    -7.51676    -7.67725   0.0338057
          68    -7.58773    -7.67593   0.0333342
          69    -7.57579    -7.67448   0.0328827
          70    -7.60318    -7.67346   0.0324287
          71    -7.62247    -7.67274   0.0319799
          72    -7.59081     -7.6716    0.031556
          73    -7.53347    -7.66971   0.0311804
          74    -7.53507    -7.66789   0.0308121
          75    -7.53839    -7.66617   0.0304496
          76    -7.60035     -7.6653   0.0300613
          77    -7.60447    -7.66451   0.0296812
          78    -7.57584    -7.66337   0.0293225
          79    -7.63514    -7.66302   0.0289535
          80    -7.61109    -7.66237   0.0285988
          81    -7.59125    -7.66149   0.0282592
          82    -7.59413    -7.66067   0.0279265
          83    -7.60368    -7.65998   0.0275985
          84    -7.62697    -7.65959   0.0272728
          85    -7.64872    -7.65946   0.0269522
          86    -7.69708     -7.6599   0.0266424
          87    -7.67155    -7.66003   0.0263365
          88    -7.72321    -7.66075    0.026047
          89    -7.69598    -7.66115   0.0257573
          90     -7.6551    -7.66108   0.0254712
          91    -7.66769    -7.66115   0.0251914
          92     -7.6196     -7.6607   0.0249216
          93    -7.60413    -7.66009   0.0246611
          94    -7.63293     -7.6598   0.0244004
          95    -7.62621    -7.65945   0.0241461
          96    -7.64726    -7.65932   0.0238949
          97    -7.66127    -7.65934   0.0236486
          98    -7.67616    -7.65951   0.0234079
          99    -7.70467    -7.65997   0.0231759
         100     -7.7268    -7.66064   0.0229538
         101    -7.73336    -7.66136   0.0227378
         102    -7.67804    -7.66152   0.0225155
         103     -7.7091    -7.66198   0.0223016
         104    -7.70813    -7.66243   0.0220916
         105    -7.79048    -7.66365   0.0219149
         106     -7.7982    -7.66492   0.0217448
         107    -7.80576    -7.66623   0.0215814
