#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.887662    0.887662           0
           2    0.928008    0.907835   0.0142645
           3    0.949096    0.921589   0.0147154
           4     0.94002    0.926196   0.0117358
           5      0.8942    0.919797   0.0109958
           6     0.86608    0.910844   0.0122784
           7    0.950892    0.916565    0.011782
           8    0.733882     0.89373   0.0237183
           9    0.925906    0.897305   0.0213506
          10    0.927212    0.900296   0.0194239
          11    0.898962    0.900175   0.0176585
          12     0.94973    0.904304   0.0166628
          13     0.94356    0.907324   0.0156523
          14     0.93993    0.909653   0.0147065
          15    0.865642    0.906719   0.0140157
          16    0.946792    0.909223   0.0133616
          17    0.901214    0.908752    0.012584
          18     0.79194    0.902263   0.0134545
          19    0.890516    0.901644   0.0127606
          20    0.903908    0.901758   0.0121231
