#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.146831    0.146831           0
           2    0.122711    0.134771  0.00852755
           3   0.0863615    0.118634   0.0143495
           4   0.0994024    0.113826   0.0115396
           5    0.150379    0.121137   0.0113127
           6    0.120311    0.120999  0.00942812
           7   0.0916406    0.116805  0.00896572
           8    0.132354    0.118749  0.00805291
           9    0.109358    0.117705  0.00722543
          10    0.115476    0.117482  0.00650632
          11    0.113181    0.117091  0.00592658
          12    0.103797    0.115983  0.00553528
          13    0.101449    0.114865  0.00522119
          14   0.0998128     0.11379  0.00495771
          15    0.156431    0.116633  0.00538084
          16    0.108146    0.116103  0.00507062
          17    0.133666    0.117136  0.00487646
          18    0.181562    0.120715   0.0057715
          19      0.1257    0.120977  0.00547369
          20    0.117838     0.12082  0.00520226
