#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1   0.0343383   0.0343383           0
           2   0.0359054   0.0351218 0.000554063
           3    0.037249   0.0358309 0.000686742
           4   0.0367873     0.03607 0.000555125
           5   0.0346252    0.035781 0.000513836
           6   0.0358223   0.0357879 0.000428243
           7   0.0371598   0.0359839 0.000409463
           8    0.035561    0.035931 0.000361677
           9   0.0363456   0.0359771  0.00032441
          10   0.0359095   0.0359703  0.00029204
          11   0.0361627   0.0359878 0.000266014
          12   0.0370001   0.0360722 0.000256872
          13   0.0367582   0.0361249 0.000242472
          14   0.0366929   0.0361655 0.000228521
          15   0.0339416   0.0360173  0.00025692
          16   0.0367186   0.0360611 0.000244573
          17   0.0352391   0.0360127 0.000234917
          18   0.0326487   0.0358258 0.000286726
          19   0.0357741   0.0358231 0.000271648
          20   0.0358542   0.0358247  0.00025807
