#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1        1.96        1.96           0
           2     1.95998     1.95999 6.24369e-06
           3     1.95993     1.95997 1.73155e-05
           4     1.95984     1.95994 3.08579e-05
           5     1.95972     1.95989 4.64931e-05
           6     1.95956     1.95984 6.39759e-05
           7     1.95937     1.95977 8.31345e-05
           8     1.95914     1.95969 0.000103841
           9     1.95887      1.9596 0.000125997
          10     1.95857      1.9595 0.000149523
          11     1.95824     1.95938 0.000174356
          12     1.95787     1.95926 0.000200445
          13     1.95746     1.95912 0.000227747
          14     1.95702     1.95897 0.000256226
          15     1.95654     1.95881 0.000285854
          16     1.95602     1.95863 0.000316607
          17     1.95547     1.95845 0.000348464
          18     1.95488     1.95825 0.000381411
          19     1.95425     1.95804 0.000415434
          20     1.95358     1.95781 0.000450525
          21     1.95287     1.95758 0.000486676
          22     1.95213     1.95733 0.000523883
          23     1.95134     1.95707 0.000562143
          24     1.95051      1.9568 0.000601456
          25     1.94965     1.95651 0.000641824
          26     1.94874     1.95621 0.000683243
          27     1.94779      1.9559 0.000725706
          28     1.94679     1.95558 0.000769219
          29     1.94576     1.95524 0.000813795
          30     1.94468     1.95488 0.000859444
          31     1.94355     1.95452  0.00090618
          32     1.94238     1.95414 0.000954004
          33     1.94116     1.95375  0.00100292
          34     1.93989     1.95334  0.00105294
          35     1.93858     1.95292  0.00110407
          36     1.93722     1.95248  0.00115633
          37     1.93581     1.95203  0.00120972
          38     1.93434     1.95156  0.00126429
          39     1.93282     1.95108  0.00132004
          40     1.93125     1.95059  0.00137699
          41     1.92963     1.95008  0.00143517
          42     1.92795     1.94955  0.00149458
          43     1.92621     1.94901  0.00155527
          44     1.92442     1.94845  0.00161723
          45     1.92256     1.94787   0.0016805
          46     1.92065     1.94728   0.0017451
          47     1.91867     1.94667  0.00181104
          48     1.91663     1.94605  0.00187837
          49     1.91452      1.9454  0.00194709
          50     1.91235     1.94474  0.00201723
          51     1.91012     1.94406  0.00208881
          52     1.90781     1.94337  0.00216187
          53     1.90543     1.94265  0.00223643
          54     1.90298     1.94192  0.00231251
          55     1.90046     1.94116  0.00239014
          56     1.89786     1.94039  0.00246935
          57     1.89519      1.9396  0.00255017
          58     1.89244     1.93878  0.00263262
          59     1.88961     1.93795  0.00271673
          60      1.8867      1.9371  0.00280252
          61      1.8837     1.93622  0.00289003
          62     1.88063     1.93532  0.00297928
          63     1.87746     1.93441  0.00307029
          64     1.87421     1.93346  0.00316311
          65     1.87087      1.9325  0.00325776
          66     1.86743     1.93152  0.00335427
          67      1.8639     1.93051  0.00345268
          68     1.86028     1.92947    0.003553
          69     1.85656     1.92842  0.00365528
          70     1.85274     1.92734  0.00375955
