#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1        1.53        1.53           0
           2     1.52986     1.52993 5.04519e-05
           3     1.52943     1.52976 0.000139923
           4     1.52872      1.5295 0.000249352
           5     1.52772     1.52915 0.000375644
           6     1.52644     1.52869 0.000516759
           7     1.52488     1.52815  0.00067124
           8     1.52304     1.52751 0.000837975
           9     1.52091     1.52678  0.00101608
          10     1.51851     1.52595  0.00120477
          11     1.51583     1.52503  0.00140337
          12     1.51287     1.52402  0.00161129
          13     1.50964     1.52291  0.00182798
          14     1.50613     1.52171  0.00205302
          15     1.50235     1.52042   0.0022861
          16      1.4983     1.51904  0.00252689
          17     1.49398     1.51757  0.00277513
          18     1.48939       1.516  0.00303051
          19     1.48453     1.51434  0.00329279
          20      1.4794      1.5126  0.00356169
          21       1.474     1.51076  0.00383701
          22     1.46835     1.50883  0.00411854
          23     1.46242     1.50681  0.00440608
          24     1.45624     1.50471  0.00469948
          25     1.44979     1.50251  0.00499856
          26     1.44308     1.50022  0.00530322
          27     1.43611     1.49785  0.00561333
          28     1.42888     1.49539  0.00592874
          29     1.42139     1.49283   0.0062493
          30     1.41365     1.49019  0.00657485
          31     1.40565     1.48747  0.00690526
          32      1.3974     1.48465  0.00724039
          33      1.3889     1.48175  0.00758011
          34     1.38015     1.47876  0.00792431
          35     1.37115     1.47569  0.00827287
          36     1.36191     1.47253  0.00862567
          37     1.35243     1.46928  0.00898257
          38      1.3427     1.46595  0.00934344
          39     1.33274     1.46254  0.00970815
          40     1.32254     1.45904   0.0100766
          41     1.31212     1.45545   0.0104485
          42     1.30146     1.45179   0.0108239
          43     1.29059     1.44804   0.0112026
          44     1.27949     1.44421   0.0115844
          45     1.26818     1.44029   0.0119691
          46     1.25666      1.4363   0.0123567
          47     1.24494     1.43223    0.012747
          48     1.23301     1.42808   0.0131398
          49     1.22089     1.42385   0.0135349
          50     1.20858     1.41955   0.0139322
          51     1.19608     1.41517   0.0143315
          52     1.18341     1.41071   0.0147326
          53     1.17056     1.40618   0.0151353
          54     1.15755     1.40157   0.0155396
          55     1.14438      1.3969   0.0159451
          56     1.13106     1.39215   0.0163517
          57      1.1176     1.38733   0.0167593
          58     1.10401     1.38245   0.0171675
          59     1.09028      1.3775   0.0175762
          60     1.07644     1.37248   0.0179852
          61      1.0625      1.3674   0.0183943
          62     1.04845     1.36225   0.0188032
          63     1.03431     1.35705   0.0192118
          64     1.02008     1.35178   0.0196198
          65     1.00579     1.34646    0.020027
          66    0.991441     1.34108   0.0204332
          67     0.97704     1.33565   0.0208381
          68    0.962601     1.33016   0.0212415
          69    0.948135     1.32462   0.0216432
          70    0.933654     1.31904   0.0220429
          71    0.919169     1.31341   0.0224404
          72    0.904694     1.30773   0.0228354
          73    0.890238     1.30201   0.0232277
          74    0.875816     1.29625   0.0236171
          75    0.861439     1.29045   0.0240032
          76     0.84712     1.28462   0.0243859
          77    0.832871     1.27875   0.0247649
          78    0.818705     1.27286   0.0251399
          79    0.804635     1.26693   0.0255108
          80    0.790674     1.26098   0.0258772
          81    0.776833       1.255   0.0262389
          82    0.763127       1.249   0.0265958
          83    0.749567     1.24298   0.0269474
          84    0.736165     1.23695   0.0272937
          85    0.722935      1.2309   0.0276344
          86    0.709887     1.22484   0.0279693
          87    0.697035     1.21878   0.0282981
          88     0.68439      1.2127   0.0286207
          89    0.671962     1.20663   0.0289368
          90    0.659764     1.20055   0.0292463
          91    0.647805     1.19448    0.029549
          92    0.636094     1.18841   0.0298446
          93    0.624642     1.18235   0.0301331
          94    0.613458      1.1763   0.0304142
          95     0.60255     1.17026   0.0306878
          96    0.591927     1.16423   0.0309538
          97    0.581596     1.15822    0.031212
          98    0.571565     1.15224   0.0314624
          99     0.56184     1.14627   0.0317047
         100    0.552428     1.14034    0.031939
         101    0.543334     1.13443   0.0321651
         102    0.534563     1.12854   0.0323829
         103     0.52612      1.1227   0.0325924
         104    0.518009     1.11688   0.0327936
         105    0.510231      1.1111   0.0329863
         106    0.502792     1.10537   0.0331705
         107    0.495691     1.09967   0.0333463
         108    0.488931     1.09401   0.0335136
         109    0.482513      1.0884   0.0336724
         110    0.476436     1.08284   0.0338228
         111      0.4707     1.07732   0.0339647
         112    0.465305     1.07186   0.0340982
         113    0.460249     1.06645   0.0342233
         114    0.455531     1.06109   0.0343401
         115    0.451148     1.05578   0.0344486
         116    0.447097     1.05054    0.034549
         117    0.443375     1.04535   0.0346412
         118    0.439978     1.04022   0.0347255
         119    0.436902     1.03515   0.0348018
         120    0.434141     1.03014   0.0348703
         121    0.431692     1.02519   0.0349311
         122    0.429549     1.02031   0.0349843
         123    0.427706     1.01549   0.0350301
         124    0.426157     1.01074   0.0350685
         125    0.424895     1.00605   0.0350997
         126    0.423915     1.00143   0.0351239
         127    0.423208     0.99688   0.0351412
         128    0.422767    0.992395   0.0351518
         129    0.422586    0.987978   0.0351557
         130    0.422657    0.983629   0.0351532
         131    0.422971     0.97935   0.0351444
         132     0.42352    0.975139   0.0351295
         133    0.424297    0.970997   0.0351087
         134    0.425293    0.966925   0.0350821
         135    0.426501    0.962922   0.0350499
         136    0.427911    0.958988   0.0350122
         137    0.429514    0.955123   0.0349693
         138    0.431303    0.951327   0.0349213
         139    0.433269      0.9476   0.0348684
         140    0.435403    0.943942   0.0348107
         141    0.437698    0.940351   0.0347485
         142    0.440143    0.936829   0.0346819
         143    0.442731    0.933373    0.034611
         144    0.445454    0.929985   0.0345361
         145    0.448302    0.926663   0.0344574
         146    0.451267    0.923407   0.0343749
         147    0.454341    0.920216   0.0342888
         148    0.457516     0.91709   0.0341993
