#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.78711     1.78711           0
           2      1.8046     1.79586  0.00618616
           3     1.77107     1.78759  0.00790713
           4     1.82394     1.79668   0.0098534
           5     1.82828       1.803  0.00970041
           6     1.85752     1.81209   0.0115825
           7     1.83989     1.81606   0.0105869
           8     1.83507     1.81844  0.00952665
           9     1.84136     1.82098  0.00880203
          10     1.83318      1.8222  0.00800592
          11     1.82833     1.82276  0.00729744
          12      1.8992     1.82913  0.00905228
          13     1.84449     1.83031   0.0084327
          14     1.80018     1.82816  0.00810029
          15     1.74593     1.82268  0.00923089
          16     1.79523     1.82096  0.00881191
          17     1.85041     1.82269  0.00846207
          18     1.85875      1.8247  0.00822569
          19     1.81828     1.82436  0.00779968
          20     1.78381     1.82233  0.00766873
