#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -0.368332   -0.368332           0
           2   -0.385758   -0.377045  0.00616109
           3   -0.352249    -0.36878  0.00790016
           4   -0.405248   -0.377897  0.00987155
           5   -0.409657   -0.384249  0.00972857
           6   -0.438797    -0.39334   0.0116018
           7    -0.42104   -0.397297   0.0105978
           8   -0.416236   -0.399665   0.0095338
           9   -0.422541   -0.402206  0.00880682
          10   -0.414383   -0.403424  0.00800987
          11   -0.409624   -0.403988  0.00730151
          12   -0.480461   -0.410361  0.00905675
          13   -0.425699    -0.41154  0.00843658
          14   -0.381427   -0.409389  0.00810352
          15   -0.327176   -0.403909  0.00923262
          16   -0.376534   -0.402198  0.00881269
          17   -0.431691   -0.403933  0.00846334
          18   -0.440106   -0.405942  0.00822829
          19   -0.399585   -0.405608  0.00780202
          20   -0.364921   -0.403573  0.00767256
