#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -0.429262   -0.429262           0
           2   -0.400188   -0.414725    0.010279
           3   -0.378733   -0.402728   0.0119547
           4   -0.431839   -0.410006   0.0109597
           5   -0.433695   -0.414743  0.00973815
           6   -0.477115   -0.425139   0.0124863
           7   -0.478637   -0.432781     0.01283
           8   -0.386406   -0.426984   0.0124673
           9   -0.393141   -0.423224   0.0116353
          10   -0.448274   -0.425729    0.010738
          11   -0.423026   -0.425483  0.00976467
          12   -0.398181   -0.423208   0.0092122
          13   -0.404564   -0.421774  0.00861448
          14   -0.412715   -0.421127  0.00802342
          15   -0.398804   -0.419639  0.00762529
          16   -0.372039   -0.416664  0.00770723
          17   -0.391479   -0.415182  0.00739487
          18   -0.394831   -0.414052  0.00706995
          19   -0.407181    -0.41369  0.00670709
          20   -0.423383   -0.414175  0.00638922
