#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -1.39209    -1.39209           0
           2 -0.00272461   -0.697408    0.491215
           3   -0.002769   -0.465862    0.378132
           4 -0.00281311   -0.350099    0.300797
           5 -0.00276898   -0.280633    0.248529
           6 -0.00277018   -0.234323    0.211379
           7 -0.00274878   -0.201241    0.183752
           8 -0.00275251    -0.17643     0.16245
           9   -0.002771   -0.157134    0.145541
          10 -0.00275966   -0.141697    0.131803
          11 -0.00273128   -0.129064    0.120425
          12 -0.00274419   -0.118537    0.110849
          13 -0.00280133   -0.109634    0.102679
          14 -0.00279166   -0.102003   0.0956277
          15 -0.00279004  -0.0953885    0.089481
          16  -0.0028037  -0.0896019   0.0840753
          17 -0.00277261  -0.0844943   0.0792847
          18 -0.00275667  -0.0799533   0.0750099
          19  -0.0027298   -0.075889   0.0711721
          20 -0.00272461  -0.0722307   0.0677074
