#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -7.55467    -7.55467           0
           2    -7.54013     -7.5474  0.00514238
           3    -7.53796    -7.54425  0.00428332
           4    -7.55172    -7.54612  0.00359651
           5    -7.56511    -7.54992  0.00445136
           6    -7.55092    -7.55009  0.00371262
           7    -7.54495    -7.54935  0.00325387
           8    -7.54706    -7.54907  0.00285969
           9    -7.53526    -7.54753  0.00292458
          10      -7.545    -7.54728  0.00264304
          11    -7.56259    -7.54867  0.00274469
          12    -7.54693    -7.54853  0.00251978
          13    -7.54288    -7.54809  0.00236307
          14    -7.54496    -7.54787  0.00220485
          15    -7.55642    -7.54844  0.00213031
          16     -7.5374    -7.54775  0.00210588
          17    -7.56518    -7.54877  0.00221763
          18    -7.53676    -7.54811  0.00219257
          19    -7.56275    -7.54888  0.00220854
          20    -7.53955    -7.54841  0.00214678
