#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1    0.050564    0.050564           0
           2   0.0526533   0.0516087 0.000738673
           3   0.0482231   0.0504802  0.00104476
           4   0.0506463   0.0505217 0.000784398
           5   0.0518209   0.0507815 0.000669171
           6   0.0507081   0.0507693 0.000557754
           7   0.0504921   0.0507297 0.000479479
           8   0.0539681   0.0511345 0.000565155
           9   0.0507545   0.0510923 0.000503935
          10   0.0497231   0.0509553 0.000471773
          11   0.0525518   0.0511005 0.000450657
          12    0.049997   0.0510085  0.00042238
          13   0.0532981   0.0511847 0.000425026
          14   0.0483107   0.0509794 0.000441466
          15   0.0518144    0.051035  0.00041553
          16   0.0487246   0.0508906  0.00041389
          17   0.0505323   0.0508696  0.00039008
          18   0.0542961   0.0510599  0.00041225
          19   0.0487767   0.0509398  0.00040769
          20   0.0475866   0.0507721 0.000420367
