#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1   0.0476365   0.0476365           0
           2   0.0479608   0.0477986 0.000114663
           3   0.0492818    0.048293 0.000410846
           4   0.0493867   0.0485665 0.000388613
           5   0.0486288   0.0485789  0.00031109
           6   0.0467024   0.0482662 0.000385645
           7   0.0480585   0.0482365 0.000331691
           8    0.048839   0.0483118 0.000298658
           9   0.0497334   0.0484698 0.000304392
          10   0.0484016    0.048463 0.000274029
          11   0.0487942   0.0484931 0.000250766
          12   0.0490125   0.0485364 0.000233576
          13   0.0489963   0.0485717 0.000218271
          14   0.0491519   0.0486132 0.000206577
          15   0.0495703    0.048677  0.00020242
          16   0.0495468   0.0487313 0.000196933
          17   0.0500296   0.0488077 0.000199607
          18   0.0490899   0.0488234 0.000189133
          19   0.0499082   0.0488805 0.000187599
          20   0.0495339   0.0489132 0.000181042
