#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     1.41643     1.41643           0
           2     1.52649     1.47146   0.0389121
           3     1.40415     1.44902   0.0317584
           4     1.32173      1.4172   0.0364259
           5     1.37726     1.40921    0.030004
           6     1.37168     1.40296   0.0256471
           7     1.43431     1.40744   0.0223709
           8     1.41792     1.40875   0.0196128
           9     1.39997     1.40777   0.0174579
          10     1.43372     1.41037   0.0159038
          11     1.39576     1.40904   0.0145134
          12     1.38792     1.40728   0.0134102
          13     1.42442      1.4086   0.0124433
          14     1.36638     1.40558   0.0119144
          15     1.37511     1.40355   0.0112919
          16     1.40151     1.40342   0.0105869
          17     1.24988     1.39439   0.0132687
          18     1.37894     1.39353   0.0125593
          19     1.31646     1.38948   0.0125363
          20     1.34122     1.38706   0.0121395
