#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     1.88805     1.88805           0
           2  0.00390387    0.945976    0.666146
           3  0.00384137    0.631931    0.512808
           4  0.00399355    0.474947    0.407927
           5  0.00429214    0.380816    0.337027
           6  0.00416491    0.318041    0.286643
           7  0.00408902     0.27319    0.249178
           8  0.00394755    0.239535    0.220292
           9  0.00377601     0.21334    0.197366
          10  0.00382062    0.192388    0.178738
          11  0.00397243    0.175259    0.163308
          12  0.00418409    0.161003     0.15032
          13  0.00404338    0.148929    0.139241
          14  0.00414989    0.138588    0.129679
          15  0.00417817    0.129627    0.121343
          16   0.0040193    0.121777    0.114012
          17  0.00402555     0.11485    0.107516
          18  0.00381889    0.108682     0.10172
          19  0.00387808    0.103166   0.0965154
          20  0.00372857   0.0981938   0.0918176
