#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.19141     1.19141           0
           2     1.20307     1.19724  0.00412411
           3     1.18071     1.19173  0.00527142
           4     1.21596     1.19779  0.00656893
           5     1.21886       1.202  0.00646694
           6     1.23835     1.20806  0.00772167
           7     1.22659     1.21071  0.00705796
           8     1.22338     1.21229   0.0063511
           9     1.22757     1.21399  0.00586802
          10     1.22212      1.2148  0.00533728
          11     1.21888     1.21517  0.00486496
          12     1.26613     1.21942  0.00603485
          13     1.22966     1.22021   0.0056218
          14     1.20012     1.21877  0.00540019
          15     1.16395     1.21512  0.00615393
          16     1.19682     1.21397  0.00587461
          17      1.2336     1.21513  0.00564138
          18     1.23917     1.21646  0.00548379
          19     1.21219     1.21624  0.00519979
          20      1.1892     1.21489  0.00511249
