#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     6.03089     6.03089           0
           2 0.000709478      3.0158     2.13199
           3  0.00070948     2.01077     1.64121
           4 0.000709482     1.50825     1.30557
           5 0.000709484     1.20674     1.07871
           6 0.000709486     1.00574    0.917462
           7 0.000709488    0.862163    0.797551
           8 0.000709491    0.754482    0.705089
           9 0.000709492    0.670729    0.631701
          10 0.000709495    0.603727    0.572073
          11 0.000709497    0.548907    0.522686
          12 0.000709498    0.503224    0.481121
          13 0.000709499    0.464569    0.445662
          14   0.0007095    0.431436    0.415059
          15 0.000709503    0.402721     0.38838
          16 0.000709503    0.377596    0.364918
          17 0.000709504    0.355426    0.344125
          18 0.000709505    0.335719    0.325571
          19 0.000709506    0.318087    0.308913
          20 0.000709507    0.302218    0.293875
