Step,Mu,Sigma,Hamiltonian,Error
0,0.75,0.7,-0.390104,0.0132431
1,0.675564,0.690249,-0.311056,0.0132937
2,0.668025,0.754159,-0.293063,0.0186609
3,0.643095,0.664484,-0.281041,0.0197791
4,0.595852,0.576825,-0.238807,0.0126137
5,0.545756,0.544375,-0.075177,0.0111385
6,0.551364,0.502658,-0.0592204,0.0101401
7,0.625045,0.469069,-0.0689926,0.0136829
8,0.723062,0.50796,-0.218763,0.0126028
9,0.664829,0.411052,0.325082,0.0223449
10,0.746908,0.449192,0.0943368,0.0148096
11,0.779496,0.494335,-0.144011,0.0141891
12,0.814443,0.491481,-0.12106,0.0132312
13,0.884821,0.445044,0.18877,0.0165666
14,0.803728,0.424172,0.308488,0.0217734
15,0.803728,0.424172,0.284234,0.0148671
16,0.803728,0.424172,0.258852,0.022729
17,0.735947,0.339595,1.2053,0.033431
18,0.735947,0.339595,1.28509,0.0326709
19,0.735947,0.339595,1.30117,0.0366619
20,0.777813,0.307682,1.7734,0.0468103
21,0.835162,0.403872,0.454572,0.0229728
22,0.738376,0.436165,0.176033,0.0200512
23,0.799946,0.397131,0.518943,0.0246889
24,0.846277,0.489536,-0.0791668,0.0117925
25,0.780067,0.512322,-0.199478,0.00979583
26,0.838012,0.541922,-0.270234,0.0118252
27,0.805647,0.535537,-0.276814,0.0110899
28,0.803597,0.57365,-0.357187,0.00912295
29,0.760137,0.58905,-0.363169,0.0114156
30,0.699205,0.634674,-0.356097,0.00977593
31,0.642532,0.731379,-0.254574,0.0173892
32,0.691194,0.719603,-0.317219,0.0165127
33,0.751623,0.72187,-0.394251,0.0131434
34,0.786241,0.634198,-0.381272,0.0223477
35,0.73164,0.699208,-0.339151,0.0253529
36,0.701179,0.731983,-0.300585,0.0296062
37,0.744709,0.700255,-0.373264,0.0245704
38,0.813626,0.719413,-0.356018,0.0230551
39,0.814341,0.683167,-0.374985,0.0273587
40,0.832778,0.722534,-0.369847,0.0227074
41,0.882753,0.708698,-0.281446,0.0422685
42,0.871314,0.703257,-0.282317,0.0407818
43,0.868682,0.64891,-0.371393,0.0188199
44,0.912474,0.565907,-0.214548,0.034529
45,0.942038,0.495556,-0.0324089,0.011683
46,0.87042,0.459676,0.0866512,0.0163488
47,0.855334,0.493457,-0.0815945,0.0119795
48,0.871546,0.476302,-0.00801175,0.0121188
49,0.784358,0.46399,0.00733393,0.0164354
50,0.845299,0.489158,-0.0631895,0.0123224
51,0.896739,0.409062,0.417961,0.0185287
52,0.804214,0.358234,0.991675,0.0300291
53,0.788585,0.363478,0.887096,0.0307912
54,0.703681,0.458037,-0.0019589,0.0186458
55,0.703681,0.458037,0.00779452,0.0162514
56,0.726472,0.43071,0.225536,0.0185657
57,0.726472,0.43071,0.183538,0.0194743
58,0.672082,0.509383,-0.229623,0.0107055
