Generazione,BestLoss
1,34.662
2,30.5113
3,26.6729
4,23.2245
5,20.9092
6,18.4252
7,17.4779
8,15.3934
9,14.6638
10,14.3456
11,13.5321
12,12.4589
13,10.7656
14,10.1484
15,10.1339
16,9.07083
17,8.89184
18,8.45749
19,8.15199
20,8.1312
21,7.90345
22,7.20259
23,7.14102
24,7.14102
25,7.14102
26,7.06967
27,7.06967
28,6.65425
29,6.65425
30,6.65425
31,6.65425
32,6.65425
33,6.65425
34,6.65425
35,6.65425
36,6.65425
37,6.38857
38,6.38857
39,6.31965
40,6.31965
41,6.31965
42,6.31965
43,6.05136
44,5.82294
45,5.77144
46,5.68093
47,5.65414
48,5.58961
49,5.58961
50,5.58961
51,5.58961
52,5.58961
53,5.36043
54,5.36043
55,5.36043
56,5.36043
57,5.36043
58,5.36043
59,5.36043
60,5.36043
61,5.36043
62,5.36043
63,5.36043
64,5.36043
65,5.36043
66,5.36043
67,5.36043
68,5.36043
69,5.36043
70,5.36043
71,5.36043
72,5.36043
73,5.36043
74,5.36043
75,5.36043
76,5.36043
77,5.36043
78,5.36043
79,5.36043
80,5.36043
81,5.36043
82,5.36043
83,5.36043
84,5.36043
85,4.95468
86,4.95468
87,4.95468
88,4.95468
89,4.95468
90,4.95309
91,4.95309
92,4.95309
93,4.95309
94,4.95309
95,4.95309
96,4.95309
97,4.95309
98,4.95309
99,4.95309
100,4.95125
101,4.95125
102,4.95125
103,4.95125
104,4.95125
105,4.95125
106,4.95125
107,4.95125
108,4.95125
109,4.95125
110,4.95125
111,4.95125
112,4.95125
113,4.95125
114,4.95125
115,4.95125
116,4.95125
117,4.95125
118,4.95125
119,4.95125
120,4.95125
