Generazione,HalfLoss
1,43.8987
2,38.8953
3,34.7729
4,31.7802
5,28.6881
6,25.7046
7,23.2337
8,20.7381
9,19.0393
10,17.5915
11,16.6081
12,15.5914
13,14.6702
14,13.4344
15,12.549
16,11.7239
17,11.0478
18,10.4368
19,9.84108
20,9.15255
21,8.54791
22,8.26143
23,8.1129
24,7.95178
25,7.77225
26,7.45195
27,7.14038
28,7.0235
29,6.79273
30,6.62751
31,6.59429
32,6.52444
33,6.36488
34,6.19518
35,6.10898
36,6.00111
37,5.85838
38,5.74013
39,5.65021
40,5.54954
41,5.44343
42,5.32644
43,5.19543
44,5.03846
45,4.97441
46,4.91831
47,4.87216
48,4.80995
49,4.72382
50,4.66961
51,4.63481
52,4.59473
53,4.54014
54,4.51652
55,4.50725
56,4.5024
57,4.49267
58,4.48594
59,4.48087
60,4.47317
61,4.46979
62,4.46889
63,4.46833
64,4.46816
65,4.46816
66,4.46816
67,4.46816
68,4.46816
69,4.46816
70,4.46816
71,4.46816
72,4.46816
73,4.46816
74,4.46816
75,4.46816
76,4.46816
77,4.46816
78,4.46816
79,4.46816
80,4.46816
81,4.46816
82,4.46816
83,4.46816
84,4.46766
85,4.44535
86,4.3612
87,4.29124
88,4.25062
89,4.24009
90,4.24003
91,4.24003
92,4.24003
93,4.24003
94,4.24003
95,4.24003
96,4.24003
97,4.24003
98,4.24003
99,4.24003
100,4.24003
101,4.24003
102,4.2399
103,4.23737
104,4.36906
105,4.37986
106,4.23948
107,4.18953
108,4.18015
109,4.18015
110,4.18015
111,4.18015
112,4.18015
113,4.18015
114,4.18015
115,4.18015
116,4.18015
117,4.18015
118,4.18015
119,4.18015
120,4.18015
